Part number,Part link,Package link,Product status,OPN,Infineon package,Package name,Qualification,VDS max,Technology,VGS(th),VGS(th) min,VGS(th) max,RDS (on) (@10V) max,QG (typ @10V),Budgetary Price €/1k,Polarity,Datasheet link,QG (typ @10V) max,RDS (on) (@4.5V) max,QG (typ @4.5V),QG (typ @4.5V) max
IPDQ60R037CM8,https://www.infineon.com/part/IPDQ60R037CM8,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60R037CM8XTMA1,PG-HDSOP-22,Q-DPAK,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,37 mΩ,79 nC,3.25 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r037cm8-datasheet-en.pdf,,,,
IPDQ60R016CM8,https://www.infineon.com/part/IPDQ60R016CM8,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60R016CM8XTMA1,PG-HDSOP-22,Q-DPAK,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,16 mΩ,171 nC,8.4 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r016cm8-datasheet-en.pdf,,,,
IPDD60R180CM8,https://www.infineon.com/part/IPDD60R180CM8,https://www.infineon.com/package/PG-HDSOP-10-1,active and preferred,IPDD60R180CM8XTMA1,PG-HDSOP-10,D-DPAK,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,180 mΩ,17 nC,0.76 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdd60r180cm8-datasheet-en.pdf,,,,
IPDD60R037CM8,https://www.infineon.com/part/IPDD60R037CM8,https://www.infineon.com/package/PG-HDSOP-10-1,active and preferred,IPDD60R037CM8XTMA1,PG-HDSOP-10,D-DPAK,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,37 mΩ,79 nC,3.15 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdd60r037cm8-datasheet-en.pdf,,,,
IPD60R600CM8,https://www.infineon.com/part/IPD60R600CM8,,active and preferred,IPD60R600CM8XTMA1,PG-TO252-3,DPAK,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,600 mΩ,6 nC,0.28 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd60r600cm8-datasheet-en.pdf,,,,
IPD60R180CM8,https://www.infineon.com/part/IPD60R180CM8,,active and preferred,IPD60R180CM8XTMA1,PG-TO252-3,DPAK,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,180 mΩ,17 nC,0.63 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd60r180cm8-datasheet-en.pdf,,,,
IPP60R016CM8,https://www.infineon.com/part/IPP60R016CM8,https://www.infineon.com/package/PG-TO220-3-1,active and preferred,IPP60R016CM8XKSA1,PG-TO220-3,TO220,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,16 mΩ,171 nC,5.32 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipp60r016cm8-datasheet-en.pdf,,,,
IPAN60R180CM8,https://www.infineon.com/part/IPAN60R180CM8,https://www.infineon.com/package/PG-TO220-3-323,active and preferred,IPAN60R180CM8XKSA1,PG-TO220-3,TO220 FullPAK narrow leads,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,180 mΩ,17 nC,0.69 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipan60r180cm8-datasheet-en.pdf,,,,
IPDQ60R007CM8,https://www.infineon.com/part/IPDQ60R007CM8,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60R007CM8XTMA1,PG-HDSOP-22,Q-DPAK,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,7 mΩ,370 nC,13.36 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r007cm8-datasheet-en.pdf,,,,
IPT60R180CM8,https://www.infineon.com/part/IPT60R180CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R180CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,180 mΩ,17 nC,0.75 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r180cm8-datasheet-en.pdf,,,,
IPT60R037CM8,https://www.infineon.com/part/IPT60R037CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R037CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,37 mΩ,79 nC,3.73 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r037cm8-datasheet-en.pdf,,,,
IPT60R016CM8,https://www.infineon.com/part/IPT60R016CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R016CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,16 mΩ,171 nC,7.85 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r016cm8-datasheet-en.pdf,,,,
IPP60R180CM8,https://www.infineon.com/part/IPP60R180CM8,https://www.infineon.com/package/PG-TO220-3-1,active and preferred,IPP60R180CM8XKSA1,PG-TO220-3,TO220,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,180 mΩ,17 nC,0.72 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipp60r180cm8-datasheet-en.pdf,,,,
IPP60R037CM8,https://www.infineon.com/part/IPP60R037CM8,https://www.infineon.com/package/PG-TO220-3-1,active and preferred,IPP60R037CM8XKSA1,PG-TO220-3,TO220,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,37 mΩ,79 nC,2.62 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipp60r037cm8-datasheet-en.pdf,,,,
IPW60R037CM8,https://www.infineon.com/part/IPW60R037CM8,https://www.infineon.com/package/PG-TO247-3-58,active and preferred,IPW60R037CM8XKSA1,PG-TO247-3,TO247,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,37 mΩ,79 nC,3.44 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r037cm8-datasheet-en.pdf,,,,
IPW60R016CM8,https://www.infineon.com/part/IPW60R016CM8,https://www.infineon.com/package/PG-TO247-3-58,active and preferred,IPW60R016CM8XKSA1,PG-TO247-3,TO247,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,16 mΩ,171 nC,7.43 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r016cm8-datasheet-en.pdf,,,,
IPZA60R037CM8,https://www.infineon.com/part/IPZA60R037CM8,https://www.infineon.com/package/PG-TO247-4-12,active and preferred,IPZA60R037CM8XKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,37 mΩ,79 nC,3.92 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipza60r037cm8-datasheet-en.pdf,,,,
IPZA60R016CM8,https://www.infineon.com/part/IPZA60R016CM8,https://www.infineon.com/package/PG-TO247-4-12,active and preferred,IPZA60R016CM8XKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,16 mΩ,171 nC,7.58 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipza60r016cm8-datasheet-en.pdf,,,,
IPTA60R180CM8,https://www.infineon.com/part/IPTA60R180CM8,https://www.infineon.com/package/PG-LHSOF-4-1,active and preferred,IPTA60R180CM8XTMA1,PG-LHSOF-4,Thin-TOLL,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,180 mΩ,17 nC,0.72 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipta60r180cm8-datasheet-en.pdf,,,,
IPDQ60R055CM8,https://www.infineon.com/part/IPDQ60R055CM8,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60R055CM8XTMA1,PG-HDSOP-22,Q-DPAK,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,55 mΩ,51 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r055cm8-datasheet-en.pdf,,,,
IPDQ60R070CM8,https://www.infineon.com/part/IPDQ60R070CM8,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60R070CM8XTMA1,PG-HDSOP-22,Q-DPAK,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,70 mΩ,43 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r070cm8-datasheet-en.pdf,,,,
IPT60R055CM8,https://www.infineon.com/part/IPT60R055CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R055CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,55 mΩ,51 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r055cm8-datasheet-en.pdf,,,,
IPT60R070CM8,https://www.infineon.com/part/IPT60R070CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R070CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,70 mΩ,43 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r070cm8-datasheet-en.pdf,,,,
IPT60R120CM8,https://www.infineon.com/part/IPT60R120CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R120CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,120 mΩ,24 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r120cm8-datasheet-en.pdf,,,,
IPT60R160CM8,https://www.infineon.com/part/IPT60R160CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R160CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,160 mΩ,18 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r160cm8-datasheet-en.pdf,,,,
IPW60R055CM8,https://www.infineon.com/part/IPW60R055CM8,https://www.infineon.com/package/PG-TO247-3-58,active and preferred,IPW60R055CM8XKSA1,PG-TO247-3,TO247,Industrial,600 V,CoolMOS™ 8,,,,55 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r055cm8-datasheet-en.pdf,,,,
IPW60R070CM8,https://www.infineon.com/part/IPW60R070CM8,https://www.infineon.com/package/PG-TO247-3-58,active and preferred,IPW60R070CM8XKSA1,PG-TO247-3,TO247,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,70 mΩ,43 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r070cm8-datasheet-en.pdf,,,,
IPW60R120CM8,https://www.infineon.com/part/IPW60R120CM8,https://www.infineon.com/package/PG-TO247-3-58,active and preferred,IPW60R120CM8XKSA1,PG-TO247-3,TO247,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,120 mΩ,24 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r120cm8-datasheet-en.pdf,,,,
IPZA60R055CM8,https://www.infineon.com/part/IPZA60R055CM8,https://www.infineon.com/package/PG-TO247-4-12,active and preferred,IPZA60R055CM8XKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,600 V,CoolMOS™ 8,,,,55 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipza60r055cm8-datasheet-en.pdf,,,,
IPZA60R070CM8,https://www.infineon.com/part/IPZA60R070CM8,https://www.infineon.com/package/PG-TO247-4-12,active and preferred,IPZA60R070CM8XKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,70 mΩ,43 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipza60r070cm8-datasheet-en.pdf,,,,
IPT60R099CM8,https://www.infineon.com/part/IPT60R099CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R099CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,CoolMOS™ 8,,,,99 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r099cm8-datasheet-en.pdf,,,,
IPW60R099CM8,https://www.infineon.com/part/IPW60R099CM8,https://www.infineon.com/package/PG-TO247-3-58,active and preferred,IPW60R099CM8XKSA1,PG-TO247-3,TO247,Industrial,600 V,CoolMOS™ 8,,,,99 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r099cm8-datasheet-en.pdf,,,,
IPZA60R099CM8,https://www.infineon.com/part/IPZA60R099CM8,https://www.infineon.com/package/PG-TO247-4-12,active and preferred,IPZA60R099CM8XKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,600 V,CoolMOS™ 8,,,,99 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipza60r099cm8-datasheet-en.pdf,,,,
