Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"FET Type","Technology","Drain to Source Voltage (Vdss)","Current - Continuous Drain (Id) @ 25°C","Drive Voltage (Max Rds On, Min Rds On)","Rds On (Max) @ Id, Vgs","Vgs(th) (Max) @ Id","Gate Charge (Qg) (Max) @ Vgs","Vgs (Max)","Input Capacitance (Ciss) (Max) @ Vds","FET Feature","Power Dissipation (Max)","Operating Temperature","Mounting Type","Supplier Device Package","Package / Case","Grade","Qualification"
"https://www.infineon.com/dgdl/Infineon-BSZ075N08NS5-DS-v02_01-en.pdf?fileId=5546d461454603990145ccd5743e61f8","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6167/448%7EPPG-TSDSON-8-26%7E%7E8.jpg","BSZ075N08NS5ATMA1TR-ND,BSZ075N08NS5ATMA1CT-ND,BSZ075N08NS5ATMA1DKR-ND","BSZ075N08NS5ATMA1","Infineon Technologies","Infineon Technologies","MOSFET N-CH 80V 40A 8TSDSON","65.132","0.99","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","OptiMOS™","Active","N-Channel","MOSFET (Metal Oxide)","80 V","40A (Tc)","6V, 10V","7.5mOhm @ 20A, 10V","3.8V @ 36µA","29.5 nC @ 10 V","±20V","2080 pF @ 40 V","-","69W (Tc)","-55°C ~ 150°C (TJ)","Surface Mount","PG-TSDSON-8-26","8-PowerTDFN","-","-"
"https://www.infineon.com/dgdl/Infineon-IAUC50N08S5L096-DataSheet-v01_01-EN.pdf?fileId=5546d46279cccfdb0179ccd3f6cf0205","-","448-IAUC50N08S5L096ATMA1TR-ND,448-IAUC50N08S5L096ATMA1CT-ND,448-IAUC50N08S5L096ATMA1DKR-ND","IAUC50N08S5L096ATMA1","Infineon Technologies","Infineon Technologies","MOSFET_(75V 120V( PG-TDSON-8","6.144","1.17","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","OptiMOS™","Active","N-Channel","MOSFET (Metal Oxide)","80 V","50A","4.5V, 10V","9.6mOhm @ 25A, 10V","2V @ 24µA","29 nC @ 10 V","±20V","1684 pF @ 40 V","-","60W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","PG-TDSON-8-33","8-PowerTDFN","-","-"
"https://www.infineon.com/dgdl/Infineon-BSC072N08NS5-DS-v02_00-EN.pdf?fileId=5546d4624ad04ef9014ae3d8e8192c7c","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4850/448_8-PowerTDFN.jpg","BSC072N08NS5ATMA1TR-ND,BSC072N08NS5ATMA1CT-ND,BSC072N08NS5ATMA1DKR-ND","BSC072N08NS5ATMA1","Infineon Technologies","Infineon Technologies","MOSFET N-CH 80V 74A TDSON","26.598","1.62","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","OptiMOS™","Active","N-Channel","MOSFET (Metal Oxide)","80 V","74A (Tc)","6V, 10V","7.2mOhm @ 37A, 10V","3.8V @ 36µA","29 nC @ 10 V","±20V","2100 pF @ 40 V","-","2.5W (Ta), 69W (Tc)","-55°C ~ 150°C (TJ)","Surface Mount","PG-TDSON-8-7","8-PowerTDFN","-","-"
"https://www.infineon.com/dgdl/Infineon-BSC040N08NS5-DS-v02_00-EN.pdf?fileId=5546d4624ad04ef9014ae3065a7e2a05","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4850/448_8-PowerTDFN.jpg","BSC040N08NS5ATMA1TR-ND,BSC040N08NS5ATMA1CT-ND,BSC040N08NS5ATMA1DKR-ND","BSC040N08NS5ATMA1","Infineon Technologies","Infineon Technologies","MOSFET N-CH 80V 100A TDSON","12.718","1.88","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","OptiMOS™","Active","N-Channel","MOSFET (Metal Oxide)","80 V","100A (Tc)","6V, 10V","4mOhm @ 50A, 10V","3.8V @ 67µA","54 nC @ 10 V","±20V","3900 pF @ 40 V","-","2.5W (Ta), 104W (Tc)","-55°C ~ 150°C (TJ)","Surface Mount","PG-TDSON-8-7","8-PowerTDFN","-","-"
"https://assets.nexperia.com/documents/data-sheet/BUK9611-80E.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1048/568-D2PAK%2CSOT404.jpg","1727-1093-2-ND,1727-1093-1-ND,1727-1093-6-ND","BUK9611-80E,118","Nexperia USA Inc.","Nexperia USA Inc.","MOSFET N-CH 80V 75A D2PAK","3.870","2.03","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","TrenchMOS™","Active","N-Channel","MOSFET (Metal Oxide)","80 V","75A (Tc)","5V","10mOhm @ 20A, 10V","2.1V @ 1mA","48.8 nC @ 5 V","±10V","7149 pF @ 25 V","-","182W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","D2PAK","TO-263-3, D2PAK (2 Leads + Tab), TO-263AB","Automotive","AEC-Q101"
"https://www.onsemi.com/pdf/datasheet/fdws86368_f085-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2447/261%20MKT-PQFN08M%3B%3B8.jpg","FDWS86368-F085TR-ND,FDWS86368-F085CT-ND,FDWS86368-F085DKR-ND","FDWS86368-F085","onsemi","onsemi","MOSFET N-CH 80V 80A POWER56","4.580","2.05","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","PowerTrench®","Active","N-Channel","MOSFET (Metal Oxide)","80 V","80A (Tc)","10V","4.5mOhm @ 80A, 10V","4V @ 250µA","75 nC @ 10 V","±20V","4350 pF @ 40 V","-","214W (Tj)","-55°C ~ 175°C (TJ)","Surface Mount","Power56","8-PowerVDFN","Automotive","AEC-Q101"
"https://www.vishay.com/docs/77478/sir680ldp.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4955/742%3B5881%3BDP%3B8.jpg","742-SIR680LDP-T1-RE3TR-ND,742-SIR680LDP-T1-RE3CT-ND,742-SIR680LDP-T1-RE3DKR-ND","SIR680LDP-T1-RE3","Vishay Siliconix","Vishay Siliconix","MOSFET N-CH 80V 31.8A/130A PPAK","7.074","2.07","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","TrenchFET®","Active","N-Channel","MOSFET (Metal Oxide)","80 V","31.8A (Ta), 130A (Tc)","4.5V, 10V","2.8mOhm @ 20A, 10V","2.5V @ 250µA","135 nC @ 10 V","±20V","7250 pF @ 40 V","-","6.25W (Ta), 104W (Tc)","-55°C ~ 150°C (TJ)","Surface Mount","PowerPAK® SO-8","PowerPAK® SO-8","-","-"
"https://toshiba.semicon-storage.com/info/TPH2R408QM_datasheet_en_20211224.pdf?did=67915&prodName=TPH2R408QM","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2450/8-PowerVDFN%20PKG.jpg","264-TPH2R408QML1QTR-ND,264-TPH2R408QML1QCT-ND,264-TPH2R408QML1QDKR-ND","TPH2R408QM,L1Q","Toshiba Semiconductor and Storage","Toshiba Semiconductor and Storage","MOSFET N-CH 80V 120A 8SOP","27.891","2.17","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","U-MOSX-H","Active","N-Channel","MOSFET (Metal Oxide)","80 V","120A (Tc)","6V, 10V","2.43mOhm @ 50A, 10V","3.5V @ 1mA","87 nC @ 10 V","±20V","8300 pF @ 40 V","-","3W (Ta), 210W (Tc)","175°C","Surface Mount","8-SOP Advance (5x5)","8-PowerVDFN","-","-"
"https://www.infineon.com/dgdl/Infineon-BSC037N08NS5-DS-v02_00-EN.pdf?fileId=5546d4624ad04ef9014ae9ad3b8e1c33","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4850/448_8-PowerTDFN.jpg","BSC037N08NS5ATMA1TR-ND,BSC037N08NS5ATMA1CT-ND,BSC037N08NS5ATMA1DKR-ND","BSC037N08NS5ATMA1","Infineon Technologies","Infineon Technologies","MOSFET N-CH 80V 100A TDSON","11.940","2.24","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","OptiMOS™","Active","N-Channel","MOSFET (Metal Oxide)","80 V","100A (Tc)","6V, 10V","3.7mOhm @ 50A, 10V","3.8V @ 72µA","58 nC @ 10 V","±20V","4200 pF @ 40 V","-","2.5W (Ta), 114W (Tc)","-55°C ~ 150°C (TJ)","Surface Mount","PG-TDSON-8-7","8-PowerTDFN","-","-"
"https://www.infineon.com/dgdl/Infineon-IPD046N08N5-DS-v02_00-EN.pdf?fileId=5546d4625b3ca4ec015b6137129a66ed","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/448_TO252-3.jpg","448-IPD046N08N5ATMA1TR-ND,448-IPD046N08N5ATMA1CT-ND,448-IPD046N08N5ATMA1DKR-ND","IPD046N08N5ATMA1","Infineon Technologies","Infineon Technologies","MOSFET N-CH 80V 90A TO252-3","7.135","2.31","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","OptiMOS™","Active","N-Channel","MOSFET (Metal Oxide)","80 V","90A (Tc)","6V, 10V","4.6mOhm @ 45A, 10V","3.8V @ 65µA","53 nC @ 10 V","±20V","3800 pF @ 40 V","-","125W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","PG-TO252-3","TO-252-3, DPAK (2 Leads + Tab), SC-63","-","-"
