,,,,,%Perm vs. DC Sat. Coef.,,,,Core Loss Coefficients,,,,%Perm. vs. AC Flux Density Coefficients,,,,,,Perm vs. Frequency Coefficients,,,,B vs H Coefficients,,,,,,T expressed in Celsius,,,
Material,PartType,Init. Perm. (µ),Bsat(G),Density(g/cm³),a,b,c,d,a,b,c,d,a,b,c,d,e,f,a,b,c,d,a,b,c,d,e,a,b,c,d,e
1,T.E,20,17300,6.3,1.000E-02,1.141E-06,1.425E+00,0.000E+00,1.900E+09,2.000E+08,9.000E+05,4.300E-15,3.499E+02,3.780E-01,1.029E+00,1.764E+10,-1.976E+00,1.398E+02,2.188E-01,1.980E-07,6.640E-01,1.543E+01,3.227E-02,1.702E+00,3.597E+01,6.398E-01,8.650E+02,280,,,,
2,T.E,10,14806,5.0,1.000E-02,1.832E-07,1.462E+00,0.000E+00,4.000E+09,3.000E+08,2.700E+06,9.600E-16,1.573E+03,4.500E-01,1.246E+00,1.156E+17,-3.704E+00,1.068E+02,1.111E-01,7.012E-11,9.000E-01,1.000E+00,1.498E-03,1.961E+00,1.969E+04,9.178E-04,1.481E+03,95,,,,
3,T.E,35,17636,6.5,1.000E-02,3.494E-06,1.425E+00,0.000E+00,1.900E+09,2.000E+08,9.000E+05,4.300E-15,3.499E+02,3.780E-01,1.029E+00,1.764E+10,-1.976E+00,1.398E+02,1.266E-01,1.975E-07,6.635E-01,2.704E+01,4.107E-02,1.753E+00,3.644E+01,5.641E-01,5.039E+02,255,,,,
6,T.E,8.5,14400,4.8,1.000E-02,4.870E-08,1.569E+00,0.000E+00,4.000E+09,3.000E+08,2.700E+06,8.900E-16,1.573E+03,4.500E-01,1.246E+00,1.156E+17,-3.704E+00,1.068E+02,1.333E-01,7.012E-11,9.000E-01,1.000E+00,1.281E-03,1.961E+00,2.301E+04,9.187E-04,1.694E+03,35,,,,
7,T.E,9,14600,4.9,1.000E-02,1.484E-07,1.462E+00,0.000E+00,4.000E+09,3.000E+08,2.700E+06,9.600E-16,1.573E+03,4.500E-01,1.246E+00,1.156E+17,-3.704E+00,1.068E+02,1.250E-01,7.012E-11,9.000E-01,1.000E+00,1.354E-03,1.961E+00,2.190E+04,9.184E-04,1.622E+03,30,,,,
8,T.E,35,17636,6.5,1.000E-02,3.494E-06,1.425E+00,0.000E+00,1.900E+09,2.000E+08,9.000E+05,5.000E-15,3.499E+02,3.780E-01,1.029E+00,1.764E+10,-1.976E+00,1.398E+02,1.266E-01,1.975E-07,6.635E-01,2.704E+01,4.362E-02,1.741E+00,3.259E+01,5.858E-01,5.039E+02,255,,,,
10,T.E,6,13800,4.5,1.000E-02,5.536E-09,1.692E+00,0.000E+00,4.000E+09,3.000E+08,2.700E+06,8.000E-16,1.573E+03,4.500E-01,1.246E+00,1.156E+17,-3.704E+00,1.068E+02,2.000E-01,7.012E-11,9.000E-01,1.000E+00,9.127E-04,1.962E+00,3.832E+04,9.232E-04,2.300E+03,150,,,,
14,T.E,14,15198,5.2,1.000E-02,3.902E-07,1.459E+00,0.000E+00,4.000E+09,3.000E+08,2.700E+06,1.920E-15,1.573E+03,4.500E-01,1.246E+00,1.156E+17,-3.704E+00,1.068E+02,8.670E-02,1.449E-15,1.521E+00,2.472E+00,2.896E-03,1.905E+00,5.256E+02,4.969E-01,1.086E+03,150,,,,
15,T.E,25,17454,6.4,1.000E-02,1.783E-06,1.425E+00,0.000E+00,1.900E+09,2.000E+08,9.000E+05,5.000E-15,3.499E+02,3.780E-01,1.029E+00,1.764E+10,-1.976E+00,1.398E+02,1.750E-01,1.980E-07,6.640E-01,1.929E+01,3.184E-02,1.752E+00,4.228E+01,5.673E-01,6.982E+02,190,,,,
17,T.E,4,12800,4.0,1.000E-02,1.340E-08,1.548E+00,0.000E+00,4.000E+09,3.000E+08,2.700E+06,4.400E-16,1.573E+03,4.500E-01,1.246E+00,1.156E+17,-3.704E+00,1.068E+02,3.333E-01,7.012E-11,9.000E-01,1.000E+00,4.509E-04,2.025E+00,9.965E+08,1.578E-01,3.200E+03,50,,,,
18,T.E,55,17816,6.6,1.000E-02,4.718E-06,1.651E+00,0.000E+00,8.000E+08,1.700E+08,9.000E+05,3.100E-14,1.842E+02,2.450E-01,9.673E-01,3.530E+10,-2.055E+00,2.207E+02,1.818E-02,1.700E-11,1.110E+00,0.000E+00,6.807E-02,1.925E+00,3.253E+01,5.274E-01,3.239E+02,385,,,,
19,T.E,55,18174,6.8,1.000E-02,3.603E-06,1.688E+00,0.000E+00,1.900E+09,8.400E+07,2.100E+06,5.000E-14,1.842E+02,2.450E-01,9.673E-01,3.530E+10,-2.055E+00,2.207E+02,1.818E-02,4.500E-11,1.110E+00,0.000E+00,7.240E-02,1.916E+00,2.807E+01,5.507E-01,3.304E+02,650,,,,
