part,fam,size,ui,cl_a,cl_b,cl_c,cl_d,ds_a,ds_b,ds_c,ds_d,cal_bpk_g,cal_f_khz,cal_cl_nom_mw_cm3,cal_h_oe,cal_perm_nom_pct,cal_perm_min_pct
FS-014014-8,FS,014,14,1e+06,6.131e+07,2.047e+06,6.095e-14,0.01,2.6e-07,1.557,0,300.0,100.0,399.0,200.0,90.9,88.3
FS-014026-8,FS,014,26,1e+06,1.812e+08,3.251e+06,6.158e-14,0.01,9.21e-08,1.912,0,300.0,100.0,214.0,200.0,81.2,75.3
FS-014040-8,FS,014,40,1e+06,3.071e+08,3.524e+06,5.634e-14,0.01,6.314e-08,2.151,0,1000.0,50.0,780.0,200.0,64.0,54.5
FS-014060-8,FS,014,60,1e+06,3.903e+08,3.785e+06,5.229e-14,0.01,1.949e-07,2.099,0,1000.0,50.0,676.0,150.0,58.1,48.6
FS-014075-8,FS,014,75,2.188e+09,4.371e+08,3.489e+06,4.492e-14,0.01,1.452e-07,2.33,0,1000.0,50.0,631.0,80.0,71.7,62.4
FS-014090-8,FS,014,90,4.222e+08,6.073e+08,2.905e+06,4.589e-14,0.01,9.719e-07,1.995,0,1000.0,50.0,571.0,50.0,80.7,74.4
FS-200014-2,FS,200,14,1e+06,6.131e+07,2.047e+06,6.095e-14,0.01,2.6e-07,1.557,0,300.0,100.0,399.0,200.0,90.9,88.3
FS-200026-2,FS,200,26,1e+06,1.812e+08,3.251e+06,6.158e-14,0.01,9.21e-08,1.912,0,300.0,100.0,214.0,200.0,81.2,75.3
FS-200040-2,FS,200,40,1e+06,3.071e+08,3.524e+06,5.634e-14,0.01,6.314e-08,2.151,0,1000.0,50.0,780.0,200.0,64.0,54.5
FS-200060-2,FS,200,60,1e+06,3.903e+08,3.785e+06,5.229e-14,0.01,1.949e-07,2.099,0,1000.0,50.0,676.0,150.0,58.1,48.6
FS-200075-2,FS,200,75,2.188e+09,4.371e+08,3.489e+06,4.492e-14,0.01,1.452e-07,2.33,0,1000.0,50.0,631.0,80.0,71.7,62.4
FS-200090-2,FS,200,90,4.222e+08,6.073e+08,2.905e+06,4.589e-14,0.01,9.719e-07,1.995,0,1000.0,50.0,571.0,50.0,80.7,74.4
