"Product","Status","Package","Configuration","Polarity","VDS (V)","VGS (±V)","ID @ 25°C (A)","PD @ 25°C (W)","RDS(ON) max (mΩ) at VGS=10V","RDS(ON) max (mΩ) at VGS=4.5V","Qg (10V)(nC)","Qg (4.5V)(nC)","VGS(th) min (V)","VGS(th) typ (V)","VGS(th) max (V)","Ciss (pF)","Coss (pF)","Crss (pF)","Qgd (nC)","tD(on) (ns)","tD(off) (ns)","Trr (ns)","Qrr (nC)","Qualification","ESD Diode","Tj max (°C)"
"AOLF66610","New","LFPAK5x6-4L","Single","N","60","20","294","375","2",,"66",,"2.20","2.75","3.30","4600","1200","40","15","14","55","28","120","Industrial",,"175"
"AONS66617","New","DFN5x6-8L","Single","N","60","20","110","120","4.70",,"25",,"2.20","2.80","3.40",,"1600","15","6.50","9","18","19","55","Industrial",,"175"
"AONS62606","New","DFN5x6-8L","Single","N","60","20","195","192","2.70","3.70","65","31","1.10","1.60","2.10","4150","1050","75","10","9","56","26","107","Industrial",,"150"
"AONS68912","New","DFN5x6-8L","Single","N","100","20","242","375","2.90",,"53",,"2.40","2.90","3.40","3860","1860","30","12","13","29","37","171","Industrial",,"175"
"AOMR62818","New","DFN3.3x3.3C-8L","Single","N","80","20","78","88","6.60","9.50","34","15","1.30","1.80","2.30","2420","280","15","4","7","30","24","100","Industrial","No","175"
"AONA66813","New","DFN5x6-8L","Single","N","80","20","216","214","2.20",,"75",,"2.60","3.20","3.80","5800","1570","24","14","17","37","34","165","Industrial",,"175"
"AONU62939","New","DFN3x3C-8L","Dual","N","100","20","8","26","70","94","6.50","3","1.70","2.35","2.80","415","32","3","1.50","4","15","16","44","Industrial",,"150"
"AOGL66901","New","GLPAK","Single","N","100","20","448","535","1.25",,"170",,"2.30","2.85","3.40","13800","4100","45","30","34","123","56","320","Industrial",,"175"
"AOGT66909","New","GTPAK","Single","N","100","20","366","428","1.50",,"138",,"2.40","2.90","3.40","12000","3375","50","25","35","97","53","300","Industrial",,"175"
"AONA66642","New","DFN5x6-8L","Single","N","60","20","264","214","1.35",,,,"2.10","2.80","3.40",,,,,,,,,,,
"AOTL77901","New","TOLLC","Single","N","100","20","360","500","1.50",,"190",,"2.50","3","3.50","11400","3950","180","61","40",,"52","320","Industrial","No","175"
"AOTL77908","New","TOLLC","Single","N","100","20","326","375","1.70",,"146",,"2.50","3","3.50","8900","3100","130","45","33","83","46","302","Industrial","No","175"
"AOGT68801","New","GTPAK","Single","N","80","20","397","428","0.90",,"196","61","2.30","3","3.70","14500","2100","56","52","40","115","56","390","Industrial",,"175"
"AOTL66518Q","New","TOLLA","Single","N","150","20","206","500","4.70",,"80",,"2.70","3.20","3.70","6460","820","5","15","27","49","86","920","Automotive",,"175"
"AONS66937","New","DFN5x6-8L","Single","N","100","20","196","300","3.90",,"86",,"2.10","2.60","3.10","7300","1460","22","10","17.40",,"50","350","Industrial",,"175"
"AOGT68905","New","GTPAK","Single","N","100","20","397","428","1.20",,"139",,"2.30","2.70","3.30","10600","4600","50","28","27","104","61","450","Industrial",,"175"
"AONS77403","New","DFN5x6-8L","Single","N","40","20","341","333","1.60",,"45",,"2.40","2.90","3.40","3550","1200","20","7.80","11","29","41","27","Industrial",,"175"
"AONS66408T","New","DFN5x6-8L","Single","N","40","2.30","98","58","3.10","4.40","36.20","15.70",,,"2.30",,"2808","36","2.50","9","30","25","14","Industrial",,"175"
"AO3422","Full Production","SOT23","Single","N","55","12","2.10","1.25",,"160",,"2.60","0.60","1.30","2","214","31","12.60","0.80","2.30","16.50","20","17","Industrial","No","150"
"AO3442","Full Production","SOT23","Single","N","100","20","1","1.40","630","720","2.80","1.50","1.70","2.30","2.90","100","13","5","0.80","5","12","52","60","Industrial","No","150"
"AO4262E","Full Production","SO8","Single","N","60","20","16.50","3.10","6.50","8.50","30","15","1.20","1.65","2.20","1650","520","52","6.50","8.50","50","19","60","Industrial","Yes","150"
"AO4264C","Full Production","SO8","Single","N","60","20","11","3.10","13.50","18","15.20","7.30","1.20","1.70","2.30","900","220","20","2.80","6","21","15","45","Industrial","Yes","150"
"AO4264E","Full Production","SO8","Single","N","60","20","13.50","3.10","9.80","13.50","14.50","7","1.40","1.80","2.40","1100","300","28","3.50","8.50","50","18.50","59","Industrial","Yes","150"
"AO4266E","Full Production","SO8","Single","N","60","20","11","3.10","13.50","18","13.50","6.50","1.20","1.70","2.20","755","220","20","3",,,"15","45","Industrial","No","150"
"AO4268","Full Production","SO8","Single","N","60","20","19","3.10","4.80","6.50","44","21","1.30","1.80","2.30","2500","670","65","6.50","6","22","22","80","Industrial","No","150"
"AO4286","Full Production","SO8","Single","N","100","20","4","2.50","68","92","5.80","2.80","1.70","2.25","2.90","390","30","3","1.20","6","18","15","53","Industrial","No","150"
"AO4290A","Full Production","SO8","Single","N","100","20","15.50","3.10","6.40","7.60","65","30","1.30","1.75","2.30","4525","345","22.50","9",,,"32","162","Industrial","No","150"
"AO4292E","Full Production","SO8","Single","N","100","20","8","3.10","23","33","16.50","8","1.60","2.15","2.70","1200","93","6.30","2.50","7","20","20","80","Industrial","Yes","150"
"AO4294","Full Production","SO8","Single","N","100","20","11.50","3.10","12","15.50","33","15","1.40","1.90","2.40","2420","170","11","4","8","25","25","110","Industrial","No","150"
"AO4294A","Full Production","SO8","Single","N","100","20","11.50","3.10","12","15.50","32.50","15.50","1.50","2","2.50","2305","180","11.50","5",,,"26.50","135","Industrial","No","150"
"AO4296","Full Production","SO8","Single","N","100","20","13.50","3.10","8.30","10.60","42","18.50","1.30","1.75","2.30","3130","245","12.50","4.50","8","25","28","130","Industrial","No","150"
"AO4480","Full Production","SO8","Single","N","40","20","14","3.10","11.50","15.50","22","10.50","1","2","3","1600","320","100","4.80","3.50","13.20","31","33","Industrial","Yes","150"
"AO4482","Full Production","SO8","Single","N","100","20","6","3.10","37","42","36","18","1.60","2.10","2.70","1630","100","50","9","7","28","25","130","Industrial","No","150"
"AO4484","Full Production","SO8","Single","N","40","20","10","1.70","10","12.50","27.20","13.60","1.70","2.20","3","1500","215","135","6.40","6.40","29.60","30","19","Industrial","No","150"
"AO4486","Full Production","SO8","Single","N","100","20","4.20","3.10","79","90","16.30","8.10","1.60","2.20","2.70","778","55","24","4.10","6","21","21","94","Industrial","No","150"
"AO4828","Full Production","SO8","Dual","N","60","20","4.50","2","56","77","8.50","4.30","1","2.10","3","450","60","25","2.20","4.70","15.70","27.50","32","Industrial","No","150"
"AO4840","Full Production","SO8","Dual","N","40","20","6","2","30","38","8.90","4.30","1.70","2.50","3","516","82","43","1.40","6.40","16.20","18","10","Industrial","No","150"
"AO4840E","Full Production","SO8","Dual","N","40","20","6","2","28","35","9","4.50","1.70","2.10","2.60","520","65","32","1.50","6.40","16.20","8","13","Industrial","Yes","150"
"AO4882","Full Production","SO8","Dual","N","40","20","8","2","19","27","6.50","3","1.40","1.90","2.40","415","112","11","1.10","4","15","12.50","3.50","Industrial","No","150"
"AO4884","Full Production","SO8","Dual","N","40","20","10","2","13","16","27.20","13.60","1.55","2.20","2.70","1500","215","135","6.40","6.40","29.60","13","35","Industrial","No","150"
"AO4892","Full Production","SO8","Dual","N","100","20","4","2","68","94","6.50","3","1.70","2.35","2.80","415","32","3","1.50","4","15","16","44","Industrial","No","150"
"AO6420","Full Production","TSOP-6L","Single","N","60","20","4.20","2","60","75","9.50","4.30","1","2.30","3","450","60","25","2.20","5.10","15.90","25.10","28.70","Industrial","Yes","150"
"AOB1404L","Full Production","TO263","Single","N","40","20","220","417","3.90",,"71",,"2.50","3.10","3.70","3568","1388","151","23","16","54","45","287","Industrial","No","175"
"AOB1608L","Full Production","TO263","Single","N","60","20","140","333","7.30",,"69",,"2.50","3.10","3.70","3069","721","56","21","18","47","40","355","Industrial","No","175"
"AOB2144L","Full Production","TO263","Single","N","40","20","120","187","2.30","4","68","28","1.40","1.90","2.40","5225","895","55","4.50",,,"20","60","Industrial","No","175"
"AOB2146L","Full Production","TO263","Single","N","40","20","105","119","2.80","3.90","50","20","1.50","1.95","2.50","3830","630","45","3",,,"18.50","50","Industrial","No","150"
"AOB240L","Full Production","TO263","Single","N","40","20","105","176","2.60","3.50","49","22","1","1.70","2.20","3510","1070","68","7","11","38","21","58","Industrial","No","175"
"AOB2500L","Full Production","TO263","Single","N","150","20","152","375","6.20",,"97",,"2.30","2.80","3.50","6460","586","22","17","18.50","67.50","90","1090","Industrial","No","175"
"AOB256L","Full Production","TO263","Single","N","150","20","19","83","85","100","15.50","7","1.80","2.25","2.80","1165","61.50","2.50","1.20","6.50","23","37","265","Industrial","No","175"
"AOB2606L","Full Production","TO263","Single","N","60","30","72","115","6.20",,"53","22","2.50","3","3.50","4050","345","16.80","5","18","33","26","125","Industrial","No","175"
"AOB260L","Full Production","TO263","Single","N","60","20","140","330","2.20",,"150",,"2.20","2.70","3.20","11800","1360","40","15","30","74","32","200","Industrial","No","175"
"AOB266L","Full Production","TO263","Single","N","60","20","140","268","3.20",,"65",,"2.20","2.70","3.20","5650","720","20","7","21","36","27","145","Industrial","No","175"
"AOB280L","Full Production","TO263","Single","N","80","20","140","333","2.20",,"160",,"2.40","2.75","3.40","11135","1315","80","28","30","75","44","348","Industrial","No","175"
"AOB282L","Full Production","TO263","Single","N","80","20","105","272.50","3.20",,"127","58","2.20","2.85","3.50","7765","960","66","21","24","55","40","320","Industrial","No","175"
"AOB286L","Full Production","TO263","Single","N","80","20","70","167","5.70",,"44.50",,"2.30","2.70","3.30","3142","435","43","8","13.50","32","29","161","Industrial","No","175"
"AOB288L","Full Production","TO263","Single","N","80","20","46","93.50","8.90",,,"26.50","2.30","2.80","3.40","1871","265","14","4","11.50","21.50","32","162","Industrial","No","175"
"AOB290L","Full Production","TO263","Single","N","100","20","140","500","3.20",,"90",,"2.90","3.50","4.10","7180","2780","42","21","31","45","65","460","Industrial","No","175"
"AOB292L","Full Production","TO263","Single","N","100","20","105","300","4.10",,"90",,"2.30","2.80","3.40","6775","557","32","13.50","20","48","50","380","Industrial","No","175"
