Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"FET Type","Technology","Drain to Source Voltage (Vdss)","Current - Continuous Drain (Id) @ 25°C","Drive Voltage (Max Rds On, Min Rds On)","Rds On (Max) @ Id, Vgs","Vgs(th) (Max) @ Id","Gate Charge (Qg) (Max) @ Vgs","Vgs (Max)","Input Capacitance (Ciss) (Max) @ Vds","FET Feature","Power Dissipation (Max)","Operating Temperature","Mounting Type","Supplier Device Package","Package / Case","Grade","Qualification"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6133/AMR448N.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6134/MFG_DFN5X6.jpg","5318-AMR448NTR-ND","AMR448N","Analog Power Inc.","Analog Power Inc.","MOSFET N-CH 100V 80A DFN5x6","3.200","0.276","0","3000","Tape & Reel (TR)","-","Active","N-Channel","MOSFET (Metal Oxide)","100 V","80A (Tc)","6.5V, 10V","7mOhm @ 10A, 6.5V","1V @ 250µA","32 nC @ 6.5 V","±20V","2681 pF @ 50 V","-","125W (Tc)","-55°C ~ 150°C (TJ)","Surface Mount","8-DFN (5.2x5.55)","8-PowerVDFN","-","-"
"http://download.xsemi-corporation.com/datasheet/XP10NA8R4H.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6257/5048%7ETO252-3%7E%7E2.jpg","5048-XP10NA8R4HTR-ND","XP10NA8R4H","YAGEO XSEMI","YAGEO XSEMI","MOSFET N CH  100V 66A TO-252","0","0.42777","0","3000","Tape & Reel (TR)","XP10NA8R4","Active","N-Channel","MOSFET (Metal Oxide)","100 V","66A (Tc)","10V","8.4mOhm @ 30A, 10V","4V @ 250µA","67.2 nC @ 10 V","±20V","3248 pF @ 80 V","-","2W (Ta), 69W (Tc)","-55°C ~ 150°C (TJ)","Surface Mount","TO-252","TO-252-3, DPAK (2 Leads + Tab), SC-63","-","-"
"https://rocelec.widen.net/view/pdf/3gqxixqadm/PHGLS25567-1.pdf?t.download=true&u=5oefqw","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4309/MFG_HUF75639S3.jpg","2156-PSMN8R5-100ESQ-1727-ND","PSMN8R5-100ESQ","Nexperia USA Inc.","Rochester Electronics, LLC","NEXPERIA PSMN8R5-100ESQ - 100A,","36.282","0.57039","0","486","Bulk","-","Active","N-Channel","MOSFET (Metal Oxide)","100 V","100A (Tj)","10V","8.5mOhm @ 25A, 10V","4V @ 1mA","111 nC @ 10 V","±20V","5512 pF @ 50 V","-","263W (Tc)","-55°C ~ 175°C (TJ)","Through Hole","I2PAK","TO-262-3 Long Leads, I2PAK, TO-262AA","-","-"
"https://rocelec.widen.net/view/pdf/3gqxixqadm/PHGLS25567-1.pdf?t.download=true&u=5oefqw","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4056/MFG_ISL9N302AS3.jpg","2156-PSMN8R5-100ESQ-ND","PSMN8R5-100ESQ","NXP USA Inc.","Rochester Electronics, LLC","POWER FIELD-EFFECT TRANSISTOR, 1","975","0.57039","0","486","Bulk","-","Active","N-Channel","MOSFET (Metal Oxide)","100 V","100A (Tj)","10V","8.5mOhm @ 25A, 10V","4V @ 1mA","111 nC @ 10 V","±20V","5512 pF @ 50 V","-","263W (Tc)","-55°C ~ 175°C (TJ)","Through Hole","I2PAK","TO-262-3 Long Leads, I2PAK, TO-262AA","-","-"
"http://www.gofordsemi.com/u_file/product/921/GOFORD-GT060N10T.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6132/MFG_GT060N10T.jpg","4822-GT060N10T-ND","GT060N10T","Goford Semiconductor","Goford Semiconductor","MOSFET N-CH 100V 116A TO-220","2.000","0.5704","0","1000","Tube","-","Active","N-Channel","MOSFET (Metal Oxide)","100 V","116A (Tc)","10V","6mOhm @ 30A, 10V","4V @ 250µA","83 nC @ 10 V","±20V","5365 pF @ 50 V","-","160W (Tc)","-55°C ~ 150°C (TJ)","Through Hole","TO-220","TO-220-3","-","-"
"https://assets.nexperia.com/documents/data-sheet/PSMN8R5-100ESF.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4309/MFG_HUF75639S3.jpg","2156-PSMN8R5-100ESFQ-954-ND","PSMN8R5-100ESFQ","NXP Semiconductors","Rochester Electronics, LLC","NEXPERIA PSMN8R5 - NEXTPOWER 100","1.000","0.63481","0","437","Bulk","-","Active","N-Channel","MOSFET (Metal Oxide)","100 V","97A (Ta)","7V, 10V","8.8mOhm @ 25A, 10V","4V @ 1mA","44.5 nC @ 10 V","±20V","3181 pF @ 50 V","-","183W (Ta)","-55°C ~ 175°C (TJ)","Through Hole","I2PAK","TO-262-3 Long Leads, I2PAK, TO-262AA","-","-"
"https://www.mccsemi.com/pdf/Products/MCP130N10YA(TO-220AB(H)).pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/485/353%7ETO220AB%28H%29%7E%7E3-Top.jpg","353-MCP130N10YA-BP-ND","MCP130N10YA-BP","Micro Commercial Co","Micro Commercial Co","MOSFET N-CHANNEL MOSFET","0","0.70713","0","5000","Bulk","-","Active","N-Channel","MOSFET (Metal Oxide)","100 V","130A (Tc)","10V","5.5mOhm @ 65A, 10V","4V @ 250µA","62 nC @ 10 V","±20V","4500 pF @ 50 V","-","310W","-55°C ~ 150°C (TJ)","Through Hole","TO-220AB (H)","TO-220-3","-","-"
"https://www.mccsemi.com/pdf/Products/MCP130N10YB(TO-220AB(H)).pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6348/MFG_MCP130N10YB-BP_primary.jpg","353-MCP130N10YB-BP-ND","MCP130N10YB-BP","Micro Commercial Co","Micro Commercial Co","Interface","0","0.70713","0","5000","Bulk","-","Active","N-Channel","MOSFET (Metal Oxide)","100 V","130A (Tc)","4.5V, 10V","5.5mOhm @ 65A, 10V","2.5V @ 250µA","68 nC @ 10 V","±20V","4450 pF @ 50 V","-","310W","-55°C ~ 150°C","Through Hole","TO-220AB","TO-220-3","-","-"
"https://www.gofordsemi.com/u_file/product/827/GOFORD-G080N10T.pdf","-","4822-G080N10T-ND","G080N10T","Goford Semiconductor","Goford Semiconductor","MOSFET N-CH  100V 140A 236W TO-2","1.000","0.70932","0","1000","Tube","-","Active","N-Channel","MOSFET (Metal Oxide)","100 V","140A (Tc)","4.5V, 10V","7.5mOhm @ 30A, 10V","2.5V @ 250µA","192 nC @ 10 V","±20V","13912 pF @ 50 V","-","236W (Tc)","-55°C ~ 150°C (TJ)","Through Hole","TO-220","TO-220-3","-","-"
"https://www.diodes.com/assets/Datasheets/DMT10H009LH3.pdf","-","DMT10H009LH3DI-ND","DMT10H009LH3","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 100V 84A TO251","0","0.7376","0","75","Tube","-","Active","N-Channel","MOSFET (Metal Oxide)","100 V","84A (Tc)","4.5V, 10V","9mOhm @ 20A, 10V","2.5V @ 250µA","20.2 nC @ 4.5 V","±20V","2309 pF @ 50 V","-","96W (Tc)","-55°C ~ 150°C (TJ)","Through Hole","TO-251","TO-251-3 Stub Leads, IPAK","-","-"
"https://www.diodes.com/assets/Datasheets/DMT10H9M9SH3.pdf","-","31-DMT10H9M9SH3-ND","DMT10H9M9SH3","Diodes Incorporated","Diodes Incorporated","MOSFET BVDSS: 61V~100V TO251 TUB","0","0.7376","0","75","Tube","-","Active","N-Channel","MOSFET (Metal Oxide)","100 V","84A (Tc)","6V, 10V","9mOhm @ 20A, 10V","4V @ 250µA","30 nC @ 10 V","±20V","2085 pF @ 50 V","-","114W (Tc)","-55°C ~ 150°C (TJ)","Through Hole","TO-251","TO-251-3 Stub Leads, IPAK","-","-"
"https://www.vishay.com/docs/63823/sir846adp.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4955/742%3B5881%3BDP%3B8.jpg","SIR846ADP-T1-RE3-ND","SIR846ADP-T1-RE3","Vishay Siliconix","Vishay Siliconix","MOSFET N-CH 100V 60A PPAK SO-8","0","0.75139","0","3000","Tape & Reel (TR)","TrenchFET®","Active","N-Channel","MOSFET (Metal Oxide)","100 V","60A (Tc)","6V, 10V","7.8mOhm @ 20A, 10V","3V @ 250µA","66 nC @ 10 V","±20V","2350 pF @ 50 V","-","83W (Tc)","-55°C ~ 150°C (TJ)","Surface Mount","PowerPAK® SO-8","PowerPAK® SO-8","-","-"
