Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"FET Type","Technology","Drain to Source Voltage (Vdss)","Current - Continuous Drain (Id) @ 25°C","Drive Voltage (Max Rds On, Min Rds On)","Rds On (Max) @ Id, Vgs","Vgs(th) (Max) @ Id","Gate Charge (Qg) (Max) @ Vgs","Vgs (Max)","Input Capacitance (Ciss) (Max) @ Vds","FET Feature","Power Dissipation (Max)","Operating Temperature","Mounting Type","Supplier Device Package","Package / Case","Grade","Qualification"
"https://www.vishay.com/docs/75758/sir622dp.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4955/742%3B5881%3BDP%3B8.jpg","SIR622DP-T1-RE3TR-ND,SIR622DP-T1-RE3CT-ND,SIR622DP-T1-RE3DKR-ND","SIR622DP-T1-RE3","Vishay Siliconix","Vishay Siliconix","MOSFET N-CH 150V 12.6A PPAK","19.168","1.38","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ThunderFET®","Active","N-Channel","MOSFET (Metal Oxide)","150 V","12.6A (Ta), 51.6A (Tc)","7.5V, 10V","17.7mOhm @ 20A, 10V","4.5V @ 250µA","41 nC @ 10 V","±20V","1516 pF @ 75 V","-","6.25W (Ta), 104W (Tc)","-55°C ~ 150°C (TJ)","Surface Mount","PowerPAK® SO-8","PowerPAK® SO-8","-","-"
"https://www.diodes.com/assets/Datasheets/DMTH15H017LPSWQ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3759/31%7EPowerDI5060-8%28SWP%29Type-UX%7E%7E8.jpg","31-DMTH15H017LPSWQ-13TR-ND,31-DMTH15H017LPSWQ-13CT-ND,31-DMTH15H017LPSWQ-13DKR-ND","DMTH15H017LPSWQ-13","Diodes Incorporated","Diodes Incorporated","MOSFET BVDSS: 101V~250V POWERDI5","3.170","1.59","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","150 V","8A (Ta), 50A (Tc)","4.5V, 10V","17.5mOhm @ 20A, 10V","2.6V @ 250µA","50 nC @ 10 V","±20V","3369 pF @ 75 V","-","1.5W (Ta), 107W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount, Wettable Flank","PowerDI5060-8 (Type UX)","8-PowerTDFN","Automotive","AEC-Q101"
"https://www.infineon.com/dgdl/Infineon-IPD_BIP_200N15N3-DS-v02_07-en.pdf?fileId=db3a304319c6f18c0119cd1cc23279be","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/448_TO252-3.jpg","IPD200N15N3GATMA1TR-ND,IPD200N15N3GATMA1CT-ND,IPD200N15N3GATMA1DKR-ND","IPD200N15N3GATMA1","Infineon Technologies","Infineon Technologies","MOSFET N-CH 150V 50A TO252-3","47.188","1.6","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","OptiMOS™","Active","N-Channel","MOSFET (Metal Oxide)","150 V","50A (Tc)","8V, 10V","20mOhm @ 50A, 10V","4V @ 90µA","31 nC @ 10 V","±20V","1820 pF @ 75 V","-","150W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","PG-TO252-3","TO-252-3, DPAK (2 Leads + Tab), SC-63","-","-"
"https://www.infineon.com/dgdl/Infineon-BSC160N15NS5-DS-v02_02-EN.pdf?fileId=5546d46253f650570154a055b7215b1b","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4850/448_8-PowerTDFN.jpg","BSC160N15NS5ATMA1TR-ND,BSC160N15NS5ATMA1CT-ND,BSC160N15NS5ATMA1DKR-ND","BSC160N15NS5ATMA1","Infineon Technologies","Infineon Technologies","MOSFET N-CH 150V 56A TDSON","9.632","2.2","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","OptiMOS™","Active","N-Channel","MOSFET (Metal Oxide)","150 V","56A (Tc)","8V, 10V","16mOhm @ 28A, 10V","4.6V @ 60µA","23.1 nC @ 10 V","±20V","1820 pF @ 75 V","-","96W (Tc)","-55°C ~ 150°C (TJ)","Surface Mount","PG-TDSON-8-7","8-PowerTDFN","-","-"
"https://www.onsemi.com/pdf/datasheet/fdms86200-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4482/488%7E483AE%7E%7E8-Top.jpg","FDMS86200TR-ND,FDMS86200CT-ND,FDMS86200DKR-ND","FDMS86200","onsemi","onsemi","MOSFET N-CH 150V 9.6A/35A 8PQFN","10.617","2.28","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","PowerTrench®","Active","N-Channel","MOSFET (Metal Oxide)","150 V","9.6A (Ta), 35A (Tc)","6V, 10V","18mOhm @ 9.6A, 10V","4V @ 250µA","46 nC @ 10 V","±20V","2715 pF @ 75 V","-","2.5W (Ta), 104W (Tc)","-55°C ~ 150°C (TJ)","Surface Mount","8-PQFN (5x6)","8-PowerTDFN","-","-"
"https://toshiba.semicon-storage.com/info/TPH1500CNH_datasheet_en_20191017.pdf?did=14471&prodName=TPH1500CNH","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2450/8-PowerVDFN PKG.jpg","264-TPH1500CNHL1QTR-ND,264-TPH1500CNHL1QCT-ND,264-TPH1500CNHL1QDKR-ND","TPH1500CNH,L1Q","Toshiba Semiconductor and Storage","Toshiba Semiconductor and Storage","MOSFET N-CH 150V 38A 8SOP","12.153","2.44","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","U-MOSVIII-H","Active","N-Channel","MOSFET (Metal Oxide)","150 V","38A (Tc)","10V","15.4mOhm @ 19A, 10V","4V @ 1mA","22 nC @ 10 V","±20V","2200 pF @ 75 V","-","1.6W (Ta), 78W (Tc)","150°C","Surface Mount","8-SOP Advance (5x5)","8-PowerVDFN","-","-"
"https://www.infineon.com/dgdl/IPD200N15N3_Rev2.02.pdf?folderId=db3a304313b8b5a60113cee7c66a02d6&fileId=db3a304319c6f18c0119cd1cc23279be","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4843/448_TO-220-3.jpg","448-IPP200N15N3GXKSA1-ND","IPP200N15N3GXKSA1","Infineon Technologies","Infineon Technologies","MOSFET N-CH 150V 50A TO220-3","2.996","2.47","0","1","Tube","OptiMOS™","Active","N-Channel","MOSFET (Metal Oxide)","150 V","50A (Tc)","8V, 10V","20mOhm @ 50A, 10V","4V @ 90µA","31 nC @ 10 V","±20V","1820 pF @ 75 V","-","150W (Tc)","-55°C ~ 175°C (TJ)","Through Hole","PG-TO220-3","TO-220-3","-","-"
"https://www.infineon.com/dgdl/BSC190N15NS3_Rev2.4.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a30431d8a6b3c011d8bf2fcf30076","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/321/448%3BPPG-TDSON-8-1%3B%3B8.jpg","BSC190N15NS3GATMA1TR-ND,BSC190N15NS3GATMA1CT-ND,BSC190N15NS3GATMA1DKR-ND","BSC190N15NS3GATMA1","Infineon Technologies","Infineon Technologies","MOSFET N-CH 150V 50A TDSON-8-1","12.407","2.66","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","OptiMOS™","Active","N-Channel","MOSFET (Metal Oxide)","150 V","50A (Tc)","8V, 10V","19mOhm @ 50A, 10V","4V @ 90µA","31 nC @ 10 V","±20V","2420 pF @ 75 V","-","125W (Tc)","-55°C ~ 150°C (TJ)","Surface Mount","PG-TDSON-8-1","8-PowerTDFN","-","-"
"https://www.infineon.com/dgdl/irfb4321pbf.pdf?fileId=5546d462533600a4015356162af41e33","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/376/698-TO-220AB.jpg","IRFB4321PBF-ND","IRFB4321PBF","Infineon Technologies","Infineon Technologies","MOSFET N-CH 150V 85A TO220AB","2.797","3","0","1","Tube","HEXFET®","Active","N-Channel","MOSFET (Metal Oxide)","150 V","85A (Tc)","10V","15mOhm @ 33A, 10V","5V @ 250µA","110 nC @ 10 V","±30V","4460 pF @ 50 V","-","350W (Tc)","-55°C ~ 175°C (TJ)","Through Hole","TO-220AB","TO-220-3","-","-"
"https://www.infineon.com/dgdl/Infineon-BSC093N15NS5-DS-v02_00-EN.pdf?fileId=5546d462503812bb01507033a3fa1175","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4850/448_8-PowerTDFN.jpg","BSC093N15NS5ATMA1TR-ND,BSC093N15NS5ATMA1CT-ND,BSC093N15NS5ATMA1DKR-ND","BSC093N15NS5ATMA1","Infineon Technologies","Infineon Technologies","MOSFET N-CH 150V 87A TDSON","5.521","3.06","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","OptiMOS™","Active","N-Channel","MOSFET (Metal Oxide)","150 V","87A (Tc)","8V, 10V","9.3mOhm @ 44A, 10V","4.6V @ 107µA","40.7 nC @ 10 V","±20V","3230 pF @ 75 V","-","139W (Tc)","-55°C ~ 150°C (TJ)","Surface Mount","PG-TDSON-8-7","8-PowerTDFN","-","-"
