Product,Data Sheet,Product Status,OPN,Standard Package name,Qualification,VDS max [V],RDS (on) @10V max [Ω],ID  @25°C max [A],Technology,Topology,VGS(th) [V],VGS(th) min [V],VGS(th) max [V],RDS (on) @4.5V max [Ω],QG typ @10V [C],QG typ @10V max [C],QG typ @4.5V [C],QG typ @4.5V max [C],Online Simulation,Simulation Model,Driver Selection,Budgetary Price €/1k,Polarity
FF2600UXTR33T2M1,https://www.infineon.com/dgdl/Infineon-FF2600UXTR33T2M1-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c8fc2dd9c018fe3442aa75dc7,active and preferred,FF2600UXTR33T2M1BPSA1,,Industrial,,,,CoolSiC™ G1,,,,,,,,,,https://www.infineon.com/iposim,/cms/en/product/power/mosfet/silicon-carbide/modules/ff2600uxtr33t2m1/#!simulation,5546d4694909da48014909dc0bb301f2=FF2600UXTR33T2M1|5546d4694909da48014909dc0f5e0238=CoolSiC MOSFET|5546d4624933b8750149389ffe6022e2=1.0,,
IPP011N03LF2S,https://www.infineon.com/dgdl/Infineon-IPP011N03LF2S-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c901008d101902fe1fa872535,active and preferred,IPP011N03LF2SAKSA1,TO220,Standard,30,1.05,210,StrongIRFET™ 2,,1.85,1.35,2.35,1.5,224,,108,,,,,,N
IAUCN10S7N021,https://www.infineon.com/dgdl/Infineon-IAUCN10S7N021-DataSheet-v01_10-EN.pdf?fileId=8ac78c8c8e7ead30018ee1ea5e6c031a,active and preferred,IAUCN10S7N021ATMA1,Single SSO8,Automotive,100,2.1,175,OptiMOS™-7,,,,,,81,,,,,,,,N
IPP050N03LF2S,https://www.infineon.com/dgdl/Infineon-IPP050N03LF2S-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c901008d101902fdfcd342466,active and preferred,IPP050N03LF2SAKSA1,TO220,Standard,30,4.95,53,StrongIRFET™ 2,,1.85,1.35,2.35,7.5,21,,10,,,,,,N
IAUAN04S7N007,https://www.infineon.com/dgdl/Infineon-IAUAN04S7N007-DataSheet-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c8eeb092c018f1906bfc9121b,active and preferred,IAUAN04S7N007AUMA1,sTOLL,Automotive,40,0.72,200,OptiMOS™-7,,2.6,2.2,3,,72,94.0,,,,,,,N
IAUMN10S5N017G,https://www.infineon.com/dgdl/Infineon-IAUMN10S5N017G-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c8eeb092c018f2f3c03b8111a,active and preferred,IAUMN10S5N017GAUMA1,mTOLG,Automotive,100,1.6,200,OptiMOS™-5,,,,,,131,,,,,,,,N
IPT026N12NM6,https://www.infineon.com/dgdl/Infineon-IPT026N12NM6-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c90530b3a019145da561734a9,active and preferred,IPT026N12NM6ATMA1,TOLL,Industrial,120,2.6,,OptiMOS™ 6,,3.1,2.6,3.6,,70,,,,,,,,N
IAUCN04S7L053D,https://www.infineon.com/dgdl/Infineon-IAUCN04S7L053D-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c914a3ac801918ebcefdd5602,active and preferred,IAUCN04S7L053DATMA1,Dual SSO8,Automotive,40,5.34,60,OptiMOS™-7,,1.8,1.2,1.5,,11,14.0,,,,,,,N+N
IAUMN10S5N016G,https://www.infineon.com/dgdl/Infineon-IAUMN10S5N016G-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c8eeb092c018f2f3bf3f51117,active and preferred,IAUMN10S5N016GAUMA1,mTOLG,Automotive,100,1.6,220,OptiMOS™-5,,,,,,142,,,,,,,,N
IPP033N03LF2S,https://www.infineon.com/dgdl/Infineon-IPP033N03LF2S-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c901008d1019030cc6d352b2a,active and preferred,IPP033N03LF2SAKSA1,TO220,Standard,30,3.3,78,StrongIRFET™ 2,,1.85,1.35,2.35,5,33,,16,,,,,,N
IAUAN04S7N006,https://www.infineon.com/dgdl/Infineon-IAUAN04S7N006-DataSheet-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c8eeb092c018f1906a25b1218,active and preferred,IAUAN04S7N006AUMA1,sTOLL,Automotive,40,0.57,250,OptiMOS™-7,,2.6,2.2,3,,94,123.0,,,,,,,N
IAUCN04S7N056D,https://www.infineon.com/dgdl/Infineon-IAUCN04S7N056D-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c914a3ac801918ebcda6d55fc,active and preferred,IAUCN04S7N056DATMA1,Dual SSO8,Automotive,40,5.59,60,OptiMOS™-7,,2.6,2.2,3,,9,12.0,,,,,,,N+N
IAUCN10S5L094D,https://www.infineon.com/dgdl/Infineon-IAUCN10S5L094D-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c914a3ac801918ebccd4155f9,active and preferred,IAUCN10S5L094DATMA1,Dual SSO8,Automotive,100,9.4,60,OptiMOS™-5,,,,,,23,,,,,,,,N+N
IPP018N03LF2S,https://www.infineon.com/dgdl/Infineon-IPP018N03LF2S-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c901008d1019030cd1e162b8f,active and preferred,IPP018N03LF2SAKSA1,TO220,Standard,30,1.8,128,StrongIRFET™ 2,,1.85,1.35,2.35,2.5,95,,46,,,,,,N
IPP044N03LF2S,https://www.infineon.com/dgdl/Infineon-IPP044N03LF2S-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c901008d1019030cce7cd2b69,active and preferred,IPP044N03LF2SAKSA1,TO220,Standard,30,4.35,53,StrongIRFET™ 2,,1.85,1.35,2.35,6,27,,13,,,,,,N
