Part number,Part link,Package link,Product status,OPN,Infineon package,Package name,Qualification,VDS max,ID  (@25°C) max,Technology,VGS(th),RDS (on) (@10V) max,QG (typ @10V),Budgetary Price €/1k,Polarity,Datasheet link,VGS(th) min,VGS(th) max,RDS (on) (@4.5V) max,QG (typ @4.5V),QG (typ @4.5V) max,QG (typ @10V) max
SPB80P06P G,https://www.infineon.com/part/SPB80P06P-G,https://www.infineon.com/package/PG-TO263-3-1,active and preferred,SPB80P06PGATMA1,PG-TO263-3,D2PAK,Automotive,-60 V,-80 A,Small Signal,-3 V,23 mΩ,115 nC,1.64 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spb80p06pg-ds-en.pdf,,,,,,
SPD18P06P G,https://www.infineon.com/part/SPD18P06P-G,https://www.infineon.com/package/PG-TO252-3-11,active and preferred,SPD18P06PGBTMA1,PG-TO252-3,DPAK,Automotive,-60 V,-18.6 A,Small Signal,-3 V,130 mΩ,22 nC,0.47 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spd18p06p-ds-en.pdf,,,,,,
BSZ120P03NS3 G,https://www.infineon.com/part/BSZ120P03NS3-G,https://www.infineon.com/package/PG-TSDSON-8-2,active and preferred,BSZ120P03NS3GATMA1,PG-TSDSON-8,PQFN 3x3,Industrial,-30 V,-40 A,OptiMOS™ P,-2.5 V,12 mΩ,30 nC,0.21 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsz120p03ns3-g-ds-en.pdf,,,,,,
BSZ180P03NS3 G,https://www.infineon.com/part/BSZ180P03NS3-G,https://www.infineon.com/package/PG-TSDSON-8-1,active and preferred,BSZ180P03NS3GATMA1,PG-TSDSON-8,PQFN 3x3,Industrial,-30 V,39.6 A,OptiMOS™ P,-2.5 V,18 mΩ,20 nC,0.18 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsz180p03ns3-g-ds-en.pdf,,,,,,
BSZ086P03NS3E G,https://www.infineon.com/part/BSZ086P03NS3E-G,,active and preferred,BSZ086P03NS3EGATMA1,PG-TSDSON-8,PQFN 3x3,Industrial,-30 V,-40 A,OptiMOS™ P,-2.5 V,8.6 mΩ,43.2 nC,0.26 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsz086p03ns3e-g-ds-en.pdf,,,,,,
BSC084P03NS3 G,https://www.infineon.com/part/BSC084P03NS3-G,https://www.infineon.com/package/PG-TDSON-8-5,active and preferred,BSC084P03NS3GATMA1,PG-TDSON-8,SuperSO8 5x6,Industrial,-30 V,-78.6 A,OptiMOS™ P,-2.5 V,8.4 mΩ,43 nC,0.34 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsc084p03ns3-g-ds-en.pdf,,,,,,
SPD04P10PL G,https://www.infineon.com/part/SPD04P10PL-G,https://www.infineon.com/package/PG-TO252-3-11,active and preferred,SPD04P10PLGBTMA1,PG-TO252-3,DPAK,Automotive,-100 V,-4.2 A,Small Signal,-1.5 V,850 mΩ,12 nC,0.27 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spd04p10pl-ds-en.pdf,,,,,,
BSZ086P03NS3 G,https://www.infineon.com/part/BSZ086P03NS3-G,https://www.infineon.com/package/PG-TSDSON-8-2,active and preferred,BSZ086P03NS3GATMA1,PG-TSDSON-8,PQFN 3x3,Industrial,-30 V,-40 A,OptiMOS™ P,-2.5 V,8.6 mΩ,43.2 nC,0.27 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsz086p03ns3-g-datasheet-en.pdf,,,,,,
SPD50P03L G,https://www.infineon.com/part/SPD50P03L-G,https://www.infineon.com/package/PG-TO252-5-13,active and preferred,SPD50P03LGBTMA1,PG-TO252-5,DPAK 5-pin,Automotive,-30 V,-50 A,OptiMOS™ P,-1.5 V,7 mΩ,-95 nC,0.72 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spd50p03lg-ds-en.pdf,,,,,,
IPD068P03L3 G,https://www.infineon.com/part/IPD068P03L3-G,https://www.infineon.com/package/PG-TO252-3-313,active and preferred,IPD068P03L3GATMA1,PG-TO252-3,DPAK,Automotive,-30 V,,OptiMOS™ P3,,,,0.37 ,,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd068p03l3-g-ds-en.pdf,-1 V,-2 V,11 mΩ,,,
