Part number,Part link,Package link,Product status,OPN,Infineon package,Package name,Qualification,VDS max,ID  (@25°C) max,Technology,Polarity,Datasheet link,VGS(th),VGS(th) min,VGS(th) max,RDS (on) (@10V) max,QG (typ @10V),Budgetary Price €/1k,QG (typ @10V) max,RDS (on) (@4.5V) max,QG (typ @4.5V),QG (typ @4.5V) max
IMBF170R1K0M1,https://www.infineon.com/part/IMBF170R1K0M1,https://www.infineon.com/package/PG-TO263-7-13,active and preferred,IMBF170R1K0M1XTMA1,PG-TO263-7,,Industrial,1700 V,5.2 A,CoolSiC™ G1,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbf170r1k0m1-datasheet-en.pdf,,,,,,,,,,
IMBF170R450M1,https://www.infineon.com/part/IMBF170R450M1,https://www.infineon.com/package/PG-TO263-7-13,active and preferred,IMBF170R450M1XTMA1,PG-TO263-7,,Industrial,1700 V,9.8 A,CoolSiC™ G1,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbf170r450m1-datasheet-en.pdf,,,,,,,,,,
IMBF170R650M1,https://www.infineon.com/part/IMBF170R650M1,https://www.infineon.com/package/PG-TO263-7-13,active and preferred,IMBF170R650M1XTMA1,PG-TO263-7,,Industrial,1700 V,7.4 A,CoolSiC™ G1,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbf170r650m1-datasheet-en.pdf,,,,,,,,,,
AIMBG120R080M1,https://www.infineon.com/part/AIMBG120R080M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R080M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,30 A,CoolSiC™ G1,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r080m1-datasheet-en.pdf,,,,,,,,,,
AIMBG120R040M1,https://www.infineon.com/part/AIMBG120R040M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R040M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,54 A,CoolSiC™ G1,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r040m1-datasheet-en.pdf,,,,,,,,,,
AIMBG120R010M1,https://www.infineon.com/part/AIMBG120R010M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R010M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,205 A,CoolSiC™ G1,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r010m1-datasheet-en.pdf,,,,,,,,,,
AIMBG120R030M1,https://www.infineon.com/part/AIMBG120R030M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R030M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,58 A,CoolSiC™ G1,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r030m1-datasheet-en.pdf,,,,,,,,,,
AIMBG120R060M1,https://www.infineon.com/part/AIMBG120R060M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R060M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,38 A,CoolSiC™ G1,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r060m1-datasheet-en.pdf,,,,,,,,,,
AIMBG120R020M1,https://www.infineon.com/part/AIMBG120R020M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R020M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,104 A,CoolSiC™ G1,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r020m1-datasheet-en.pdf,,,,,,,,,,
AIMBG120R120M1,https://www.infineon.com/part/AIMBG120R120M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R120M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,22 A,CoolSiC™ G1,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r120m1-datasheet-en.pdf,,,,,,,,,,
AIMBG120R160M1,https://www.infineon.com/part/AIMBG120R160M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R160M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,17 A,CoolSiC™ G1,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r160m1-datasheet-en.pdf,,,,,,,,,,
IMYH200R012M1H,https://www.infineon.com/part/IMYH200R012M1H,https://www.infineon.com/package/PG-TO247-4-4,active and preferred,IMYH200R012M1HXKSA1,PG-TO247-4,,Industrial,2000 V,123 A,CoolSiC™ G1,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imyh200r012m1h-datasheet-en.pdf,,,,,,,,,,
IMYH200R024M1H,https://www.infineon.com/part/IMYH200R024M1H,https://www.infineon.com/package/PG-TO247-4-4,active and preferred,IMYH200R024M1HXKSA1,PG-TO247-4,,Industrial,2000 V,89 A,CoolSiC™ G1,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imyh200r024m1h-datasheet-en.pdf,,,,,,,,,,
IMYH200R050M1H,https://www.infineon.com/part/IMYH200R050M1H,https://www.infineon.com/package/PG-TO247-4-4,active and preferred,IMYH200R050M1HXKSA1,PG-TO247-4,,Industrial,2000 V,48 A,CoolSiC™ G1,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imyh200r050m1h-datasheet-en.pdf,,,,,,,,,,
