"Product Group","Status","Compliance","Channel Polarity","Silicon Family","Package Name","Type","Gate Level","Wide SOA Mosfets","Configuration","OPN in older Technology","V(BR)DSS Min (V)","RDS(on) Max @ VGS = 10 V  (mΩ)","VGS Max (V)","Vgs(th) Max (V)","ID Max (A)","PD Max (W)","RDS(on) Max @ VGS = 2.5 V  (mΩ)","RDS(on) Max @ VGS = 4.5 V  (mΩ)","Qg Typ @ VGS = 4.5 V (nC)","Qg Typ @ VGS = 10 V (nC)","Ciss Typ (pF)","Qgd Typ @ VGS = 4.5 V (nC)","Qrr Typ (nC)","Coss Typ (pF)","Crss Typ (pF)","Package Type","MSL Type","MSL Temp (°C)","Reference Price",
"FCA20N60F","Active"," Pb   ","N-Channel, ","PowerTrench® T1, ","TO-3PN, ","High Voltage, ","Standard, ","0, ","Single, ","0, ","600, ","190, ","±30, ","5, ","20, ","208, ","-, ","-, ","-, ","75, ","2370, ","36, ","-, ","1280, ","95, ","TO-3P-3L ","NA ","0 ","2.997 ",
"FCA20N60-F109","Active"," Pb   ","N-Channel, ","PowerTrench® T1, ","TO-3PN, ","High Voltage, ","Standard, ","0, ","Single, ","0, ","600, ","190, ","5, ","5, ","20, ","208, ","-, ","-, ","-, ","75, ","2370, ","36, ","-, ","1280, ","95, ","TO-3P-3L ","NA ","0 ","3.523 ",
"FCA47N60","Active"," Pb   ","N-Channel, ","PowerTrench® T1, ","TO-3PN, ","High Voltage, ","Standard, ","0, ","Single, ","0, ","600, ","70, ","±30, ","5, ","47, ","417, ","-, ","-, ","-, ","210, ","5900, ","110, ","25000, ","3200, ","250, ","TO-3P-3L ","NA ","0 ","6.4482 ",
"FCA47N60-F109","Active"," Pb   ","N-Channel, ","PowerTrench® T1, ","TO-3PN, ","High Voltage, ","Standard, ","0, ","Single, ","0, ","600, ","70, ","±30, ","5, ","47, ","417, ","-, ","-, ","-, ","210, ","5900, ","110, ","25000, ","3200, ","250, ","TO-3P-3L ","NA ","0 ","6.1816 ",
"FCA47N60F","Active"," Pb   ","N-Channel, ","PowerTrench® T1, ","TO-3PN, ","High Voltage, ","Standard, ","0, ","Single, ","0, ","600, ","73, ","±30, ","5, ","47, ","417, ","-, ","-, ","-, ","210, ","5900, ","110, ","2040, ","3200, ","250, ","TO-3P-3L ","NA ","0 ","6.7531 ",
"FCB070N65S3","Active","H Pb   ","N-Channel, ","PowerTrench® T1, ","D2PAK, ","High Voltage, ","Standard, ","0, ","Single, ","0, ","650, ","70, ","±30, ","4.5, ","44, ","312, ","-, ","-, ","-, ","78, ","3090, ","30, ","9200, ","68, ","-, ","D2PAK-3 / TO-263-2 ","1 ","245 ","3.2123 ",
"FCB099N65S3","Active","H Pb   ","N-Channel, ","PowerTrench® T1, ","D2PAK, ","High Voltage, ","Standard, ","0, ","Single, ","0, ","650, ","99, ","30, ","4.5, ","30, ","227, ","~NA~, ","~NA~, ","~NA~, ","61, ","2480, ","~NA~, ","8.4, ","55, ","8.5, ","D2PAK-3 / TO-263-2 ","1 ","245 ","2.6246 ",
"FCB110N65F","Active","H Pb   ","N-Channel, ","PowerTrench® T1, ","D2PAK, ","High Voltage, ","Standard, ","0, ","Single, ","0, ","650, ","110, ","DC: ±20, AC: ±30, ","5, ","35, ","357, ","-, ","-, ","-, ","98, ","3680, ","43, ","670, ","110, ","0.65, ","D2PAK-3 / TO-263-2 ","1 ","245 ","3.1903 ",
"FCB11N60TM","Active","H Pb   ","N-Channel, ","PowerTrench® T1, ","D2PAK, ","High Voltage, ","Standard, ","0, ","Single, ","0, ","600, ","380, ","±30, ","5, ","11, ","125, ","-, ","-, ","-, ","40, ","1148, ","21, ","5700, ","671, ","63, ","D2PAK-3 / TO-263-2 ","1 ","245 ","1.5648 ",
"FCB125N65S3","Active","H Pb   ","N-Channel, ","PowerTrench® T1, ","D2PAK, ","High Voltage, ","Standard, ","0, ","Single, ","0, ","650, ","125, ","30, ","4.5, ","24, ","181, ","~NA~, ","~NA~, ","~NA~, ","46, ","1940, ","~NA~, ","5.7, ","40, ","5.5, ","D2PAK-3 / TO-263-2 ","1 ","245 ","2.2769 ",
