"Product Group","Status","Compliance","Channel Polarity","Silicon Family","Package Name","Type","Gate Level","Wide SOA Mosfets","Configuration","OPN in older Technology","V(BR)DSS Min (V)","RDS(on) Max @ VGS = 10 V  (mΩ)","Vgs (V)","Vgs(th) Max (V)","ID Max (A)","PD Max (W)","RDS(on) Max @ VGS = 2.5 V  (mΩ)","RDS(on) Max @ VGS = 4.5 V  (mΩ)","Qg Typ @ VGS = 4.5 V (nC)","Qg Typ @ VGS = 10 V (nC)","Ciss Typ (pF)","Qgd Typ @ VGS = 4.5 V (nC)","Qrr Typ (nC)","Coss Typ (pF)","Crss Typ (pF)","Package Type","MSL Type","MSL Temp (°C)","Reference Price",
"ATP113-TL-H","Active","H Pb   ","P-Channel","PowerTrench® T1","DPAK","Low-Medium Voltage","Logic","0","Single","0","-60","29.5","20","-2.6","-35","50","-","38","-","55","2400","12","-","250","195","DPAK (Single Gauge) / ATPAK ","1 ","260 ","0.7293 ",
"ATP304-TL-H","Active","H Pb   ","P-Channel","PowerTrench® T1","DPAK","Low-Medium Voltage","Logic","0","Single","0","-60","6.5","20","2.6","-100","90","-","8.9","-","240","13000","-","-","1080","760","DPAK (Single Gauge) / ATPAK ","1 ","260 ","2.1721 ",
"ECH8308-TL-H","Active","H Pb   ","P-Channel","PowerTrench® T1","Power 33","Low-Medium Voltage","Logic","0","Single","0","-12","-","10","1.3","-10","1.6","20","12.5","-","26","230","7.1","-","720","550","SOT-28 FL / ECH-8 ","1 ","260 ","0.3191 ",
"ECH8310-TL-H","Active","H Pb   ","P-Channel","PowerTrench® T1","Power 33","Low-Medium Voltage","Logic","0","Single","0","-30","17","20","2.6","-9","1.5","-","28","-","28","1400","6","-","350","250","SOT-28 FL / ECH-8 ","1 ","260 ","0.3316 ",
"ECH8315-TL-H","Active","H Pb   ","P-Channel","PowerTrench® T1","Power 33","Low-Medium Voltage","Logic","0","Single","0","-30","25","20","2.6","-7.5","1.5","-","44","-","17","875","4.7","-","200","150","SOT-28 FL / ECH-8 ","1 ","260 ","0.2621 ",
"ECH8420-TL-H","Active","H Pb   ","N-Channel","PowerTrench® T1","Power 33","Low-Medium Voltage","Logic","0","Single","0","20","-","12","1.3","14","1.6","11.5","6.8","-","29","2430","8.7","-","410","330","SOT-28 FL / ECH-8 ","1 ","260 ","0.3263 ",
"ECH8654-TL-H","Active","H Pb   ","P-Channel","PowerTrench® T1","Power 33","Low-Medium Voltage","Logic","0","Dual","0","-20","-","10","1.3","-5","1.3","Q1=Q2=58","Q1=Q2=38","-","11","960","2.8","-","180","140","SOT-28 FL / ECH-8 ","1 ","260 ","0.2663 ",
"ECH8655R-TL-H","Active","H Pb   ","N-Channel","PowerTrench® T1","Power 33","Low-Medium Voltage","Logic","0","Dual Common Drain","0","24","-","12","1.3","9","1.4","Q1=Q2=25.5","Q1=Q2=17","-","16.8","-","4.8","-","-","-","SOT-28 FL / ECH-8 ","1 ","260 ","0.2561 ",
"ECH8657-TL-H","Active","H Pb   ","N-Channel","PowerTrench® T1","Power 33","Low-Medium Voltage","Logic","0","Dual","0","35","59","20","2.6","4.5","1.3","-","Q1=Q2=119","-","4.6","230","1","-","37","25","SOT-28 FL / ECH-8 ","1 ","260 ","0.2213 ",
"ECH8660-TL-H","Active","H Pb   ","Complementary","PowerTrench® T1","Power 33","Low-Medium Voltage","Logic","0","Dual","0","30","59","20","2.6","4.5","1.3","~NA~","119|100","~NA~","4.4","240","0.64","~NA~","45","30","SOT-28 FL / ECH-8 ","1 ","260 ","0.1996 ",
