"Product Group","Status","Compliance","Channel Polarity","Silicon Family","Package Name","Type","Gate Level","Wide SOA Mosfets","Configuration","OPN in older Technology","V(BR)DSS Min (V)","RDS(on) Max @ VGS = 10 V  (mΩ)","VGS Max (V)","Vgs(th) Max (V)","Id Max (A)","PD Max (W)","RDS(on) Max @ VGS = 2.5 V  (mΩ)","RDS(on) Max @ VGS = 4.5 V  (mΩ)","Qg Typ @ VGS = 4.5 V (nC)","Qg Typ @ VGS = 10 V (nC)","Ciss Typ (pF)","Qgd Typ @ VGS = 4.5 V (nC)","Qrr Typ (nC)","Coss Typ (pF)","Crss Typ (pF)","Package Type","MSL Type","MSL Temp (°C)","Reference Price",
"2N7000-D74Z","Active"," Pb   ","N-Channel","PowerTrench® T1","TO-92","Small Signal","Logic","0","Single","0","60","5000","20","3","0.2","0.35","-","5300","-","-","60","-","-","25","5","TO-92-3 LF ","NA ","0 ","0.1033 ",
"2N7000-D75Z","Active"," Pb   ","N-Channel","PowerTrench® T1","TO-92","Small Signal","Logic","0","Single","0","60","5000","20","3","0.2","0.35","-","5300","-","-","60","-","-","25","5","TO-92-3 LF ","NA ","0 ","0.0876 ",
"2N7000","Active"," Pb   ","N-Channel","PowerTrench® T1","TO-92","Small Signal","Logic","0","Single","0","60","5000","20","3","0.2","0.35","-","5300","-","-","60","-","-","25","5","TO-92-3 ","NA ","0 ","0.1107 ",
"2N7000-D26Z","Active"," Pb   ","N-Channel","PowerTrench® T1","TO-92","Small Signal","Logic","0","Single","0","60","5000","20","3","0.2","0.35","-","5300","-","-","60","-","-","25","5","TO-92-3 LF ","NA ","0 ","0.0923 ",
"2N7002","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","60","7500","±20","2.5","0.115","0.2","-","7500","-","1","20","-","-","11","4","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.1013 ",
"2N7002DW","Active","H Pb   ","N-Channel","PowerTrench® T1","SC-6","Small Signal","Logic","0","Dual","0","60","Q1=Q2=2000","±20","2","0.115","0.2","-","Q1=Q2=7500","-","-","37.8","-","-","12.4","6.5","SC-88-6 / SC-70-6 / SOT-363-6 ","1 ","260 ","0.0751 ",
"S2N7002ET1G","Active","H Pb A P ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","60","2500","20","2.5","0.31","0.042","-","3000","-","0.81","26.7","0.08","-","4.6","2.9","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0453 ",
"2N7002ET1G","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","60","2500","20","2.5","0.31","0.042","-","3000","-","0.81","26.7","0.08","-","4.6","2.9","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0236 ",
"2N7002ET7G","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","60","2500","20","2.5","0.31","0.042","~NA~","3000","~NA~","0.81","26.7","0.08","~NA~","4.6","2.9","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0207 ",
"2N7002KT1G","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","60","1600","20","2.3","0.38","0.42","-","2500","-","0.7","24.5","0.1","-","4.2","2.2","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0217 ",
"2N7002KT7G","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Standard","0","Single","0","60","-","-","-","-","-","-","-","-","-","NA","-","-","-","-","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0217 ",
"2N7002KW","Active","H Pb   ","N-Channel","PowerTrench® T1","SC-3","Small Signal","Logic","0","Single","0","60","1600","±20","2.1","0.31","0.3","-","2000","-","0.55","37.8","-","-","25","5","SC-70-3 / SOT-323-3 ","1 ","260 ","0.0553 ",
"2N7002K","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","60","1600","20","2.3","0.38","0.42","-","2500","-","0.7","24.5","0.1","-","4.2","2.2","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0415 ",
"2N7002L","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","60","7500","±20","2.5","0.115","0.225","-","7500","-","-","50","-","-","25","5","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.028 ",
"2N7002LT7G","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","60","7500","20","2.5","0.115","0.225","~NA~","7500","~NA~","~NA~","50","~NA~","~NA~","25","5","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0245 ",
"2N7002LT1G","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","60","7500","±20","2.5","0.115","0.225","-","7500","-","-","50","-","-","25","5","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0269 ",
"2N7002LT3G","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","60","7500","±20","2.5","0.115","0.225","-","7500","-","-","50","-","-","25","5","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0269 ",
"2N7002T","Active","H Pb   ","N-Channel","PowerTrench® T1","SC-3","Small Signal","Logic","0","Single","0","60","2000","±20","2","0.115","0.2","-","7500","-","-","37.8","-","-","12.4","6.5","SOT-523FL ","1 ","260 ","0.0709 ",
"2N7002V","Active","H Pb   ","N-Channel","PowerTrench® T1","SC-6","Small Signal","Logic","0","Dual","0","60","Q1=Q2=2000","±20","2.5","0.28","0.25","-","Q1=Q2=7500","-","-","37.8","-","-","12.4","6.5","SOT-563 ","1 ","260 ","0.1319 ",
"2N7002VA","Active","H Pb   ","N-Channel","PowerTrench® T1","SC-6","Small Signal","Logic","0","Dual","0","60","Q1=Q2=2000","±20","2.5","0.28","0.25","-","Q1=Q2=7500","-","-","37.8","-","-","12.4","6.5","SOT-563 ","1 ","260 ","0.2783 ",
"2N7002W","Active","H Pb   ","N-Channel","PowerTrench® T1","SC-3","Small Signal","Logic","0","Single","0","60","1600","20","2.5","0.34","0.28","-","2500","-","0.7","24.5","0.1","-","4.2","2.2","SC-70-3 / SOT-323-3 ","1 ","260 ","0.0529 ",
"2N7002WT1G","Active","H Pb   ","N-Channel","PowerTrench® T1","SC-3","Small Signal","Logic","0","Single","0","60","1600","20","2.5","0.34","0.28","-","2500","-","0.7","24.5","0.1","-","4.2","2.2","SC-70-3 / SOT-323-3 ","1 ","260 ","0.0209 ",
"2V7002KT1G","Active","H Pb A P ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","60","1600","20","2.3","0.38","0.42","-","2500","-","0.7","24.5","0.1","-","4.2","2.2","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.042 ",
"2V7002LT1G","Active","H Pb A P ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","60","7500","20","2.5","0.115","0.3","-","7500","-","-","50","-","-","25","5","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.053 ",
"2V7002WT1G","Active","H Pb A P ","N-Channel","PowerTrench® T1","SC-3","Small Signal","Logic","0","Single","0","60","1600","20","2.5","0.34","0.28","-","2500","-","0.7","24.5","0.1","-","4.2","2.2","SC-70-3 / SOT-323-3 ","1 ","260 ","0.0485 ",
"BS170","Active"," Pb   ","N-Channel","PowerTrench® T1","TO-92","Small Signal","Standard","0","Single","0","60","5000","20","3","0.5","0.83","-","-","-","-","60","-","-","-","-","TO-92-3 ","NA ","0 ","0.0663 ",
"BS170-D27Z","Active"," Pb   ","N-Channel","PowerTrench® T1","TO-92","Small Signal","Standard","0","Single","0","60","5000","20","3","0.5","0.83","-","-","-","-","60","-","-","-","-","TO-92-3 LF ","NA ","0 ","0.0691 ",
"BS170-D26Z","Active"," Pb   ","N-Channel","PowerTrench® T1","TO-92","Small Signal","Standard","0","Single","0","60","5000","20","3","0.5","0.83","-","-","-","-","60","-","-","-","-","TO-92-3 LF ","NA ","0 ","0.0881 ",
"BS170-D75Z","Active"," Pb   ","N-Channel","PowerTrench® T1","TO-92","Small Signal","Standard","0","Single","0","60","5000","20","3","0.5","0.83","-","-","-","-","60","-","-","-","-","TO-92-3 LF ","NA ","0 ","0.0881 ",
"BS270-D74Z","Active"," Pb   ","N-Channel","PowerTrench® T1","TO-92","Small Signal","Standard","0","Single","0","60","2000","±20","2.5","0.4","0.625","-","-","-","0.6","20","-","-","11","4","TO-92-3 LF ","NA ","0 ","0.0921 ",
"BS270","Active"," Pb   ","N-Channel","PowerTrench® T1","TO-92","Small Signal","Standard","0","Single","0","60","2000","±20","2.5","0.4","0.625","-","-","-","0.6","20","-","-","11","4","TO-92-3 ","NA ","0 ","0.1041 ",
"BSS123","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","100","6000","±20","2","0.17","0.36","-","10000","-","1.8","73","0.3","-","7","3.4","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0432 ",
"BSS123L","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Standard","0","Single","0","100","6000","20","2.8","0.17","0.225","-","-","-","-","20","-","-","9","4","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0305 ",
"BSS123LT1G","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Standard","0","Single","0","100","6000","20","2.8","0.17","0.225","-","-","-","-","20","-","-","9","4","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0357 ",
"BSS138","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","50","3500","-","1.5","0.22","0.36","-","6000","-","1","27","0.4","-","13","6","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0356 ",
"BSS138-G","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","60","3500","-","1.5","220","0.36","-","6000","-","1","NA","-","-","-","-","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0799 ",
