Product or Part number,VDS (V),PDF data sheet,HTML data sheet,VGS (V),Type,Configuration,Rds(on) at VGS=10 V (max) (mΩ),Rds(on) at VGS=4.5 V (max) (mΩ),ID - silicon limited at TC=25°C (A),ID - continuous drain current at TA=25°C (A),Power loss (W),Ploss current (A),Features,Operating temperature range (°C),Package type,Pin count,Package area (mm^2),Package size (L x W) (mm),Price|Quantity (USD),Status
"=HYPERLINK(""https://www.ti.com/product/CSD86356Q5D"", ""CSD86356Q5D"")",25,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD86356Q5D"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD86356Q5D/datasheet"", ""HTML data sheet"")",10,Power block,PowerBlock,,,,40,2.8,25,Power supply,-55 to 150,VSON-CLIP,8,30,6 x 5,0.537,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD86336Q3D"", ""CSD86336Q3D"")",25,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD86336Q3D"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD86336Q3D/datasheet"", ""HTML data sheet"")",10,Power block,PowerBlock,,,,20,1.8,15,Power supply,-55 to 150,VSON-CLIP,8,10.89,3.3 x 3.3,0.432,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD25501F3"", ""CSD25501F3"")",-20,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD25501F3"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD25501F3/datasheet"", ""HTML data sheet"")",-20,P-channel,Single,,76,3.6,,,,,-55 to 150,PICOSTAR,3,0.414,0.69 x 0.6,0.041,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18511KCS"", ""CSD18511KCS"")",40,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18511KCS"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18511KCS/datasheet"", ""HTML data sheet"")",20,N-channel,Single,2.6,4.2,194,,,,,-55 to 175,TO-220,3,46.228,10.16 x 4.55,0.478,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18511KTT"", ""CSD18511KTT"")",40,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18511KTT"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18511KTT/datasheet"", ""HTML data sheet"")",20,N-channel,Single,2.6,4.2,194,,,,,-55 to 175,TO-263,2,153.416,10.16 x 15.1,0.518,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD87503Q3E"", ""CSD87503Q3E"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD87503Q3E"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD87503Q3E/datasheet"", ""HTML data sheet"")",20,N-channel,Dual Common Source,16.9,21.9,10,,,,,-55 to 150,VSON,8,10.89,3.3 x 3.3,0.425,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD17318Q2"", ""CSD17318Q2"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17318Q2"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD17318Q2/datasheet"", ""HTML data sheet"")",10,N-channel,Single,,16.9,25,,,,,-55 to 150,WSON,6,4,2 x 2,0.079,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD22205L"", ""CSD22205L"")",-8,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD22205L"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD22205L/datasheet"", ""HTML data sheet"")",-6,P-channel,Single,,9.9,7.4,,,,,-55 to 150,PICOSTAR,4,1.3456,1.16 x 1.16,0.125,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD22206W"", ""CSD22206W"")",-8,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD22206W"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD22206W/datasheet"", ""HTML data sheet"")",-6,P-channel,Single,,5.7,5,,,,,-55 to 150,DSBGA,9,3.0625,1.75 x 1.75,0.168,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD88584Q5DC"", ""CSD88584Q5DC"")",40,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD88584Q5DC"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD88584Q5DC/datasheet"", ""HTML data sheet"")",20,Power block,PowerBlock,,,,50,2.4,35,Motor control,-55 to 150,VSON-CLIP,22,30,6 x 5,1.355,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD88599Q5DC"", ""CSD88599Q5DC"")",60,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD88599Q5DC"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD88599Q5DC/datasheet"", ""HTML data sheet"")",20,Power block,PowerBlock,,,,40,3,30,Motor control,-55 to 150,VSON-CLIP,22,30,6 x 5,1.5,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD87313DMS"", ""CSD87313DMS"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD87313DMS"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD87313DMS/datasheet"", ""HTML data sheet"")",10,N-channel,Dual Common Drain,,5.5,17,,,,,-55 to 150,WSON-CLIP,8,10.89,3.3 x 3.3,0.46,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18510Q5B"", ""CSD18510Q5B"")",40,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18510Q5B"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18510Q5B/datasheet"", ""HTML data sheet"")",20,N-channel,Single,0.96,1.6,300,,,,,-55 to 150,VSON-CLIP,8,30,6 x 5,0.685,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18510KCS"", ""CSD18510KCS"")",40,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18510KCS"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18510KCS/datasheet"", ""HTML data sheet"")",20,N-channel,Single,1.7,2.6,274,,,,,-55 to 175,TO-220,3,46.228,10.16 x 4.55,0.655,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18512Q5B"", ""CSD18512Q5B"")",40,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18512Q5B"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18512Q5B/datasheet"", ""HTML data sheet"")",20,N-channel,Single,1.6,2.3,211,,,,,-55 to 150,VSON-CLIP,8,30,6 x 5,0.532,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18543Q3A"", ""CSD18543Q3A"")",60,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18543Q3A"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18543Q3A/datasheet"", ""HTML data sheet"")",20,N-channel,Single,9.9,15.6,60,,,,,-55 to 150,VSONP,8,10.89,3.3 x 3.3,0.209,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18510KTT"", ""CSD18510KTT"")",40,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18510KTT"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18510KTT/datasheet"", ""HTML data sheet"")",20,N-channel,Single,1.7,2.6,274,,,,,-55 to 175,TO-263,2,153.416,10.16 x 15.1,0.705,ACTIVE
