"Part Number","Datasheet","Description","Life-cycle","Polarity","VDSS(V)","VGSS(V)","ID(A)","PD(W)","Ciss(pF)","Qg(nC)","QOSS(nC)","trr(ns)","Qrr(nC)","RDS(ON)Max(Ω)|VGS|=1.2V","RDS(ON)Max(Ω)|VGS|=1.5V","RDS(ON)Max(Ω)|VGS|=1.8V","RDS(ON)Max(Ω)|VGS|=2.5V","RDS(ON)Max(Ω)|VGS|=4V","RDS(ON)Max(Ω)|VGS|=4.5V","RDS(ON)Max(Ω)|VGS|=6V","RDS(ON)Max(Ω)|VGS|=8V","RDS(ON)Max(Ω)|VGS|=10V","RDS(ON)Max(Ω)|VGS|=18V","Number of pins","Surface mount package","Toshiba Package Name","Generation","Type","Width x Length x Height(mm)","Package Size(mm^2)","Drive voltage type"
"2SJ168","Datasheet","P-ch MOSFET, -60 V, -0.2 A, 2.0 Ω@10V, SOT-346(S-Mini)","","P-ch","-60","+/-20","-0.2","0.2","73","","","","","","","","","","","","","2.0","","3","Y","SOT-346 (S-Mini)","","","2.9 x 2.5 x 1.1","7.25","-10V Gate Drive"
"2SJ305","Datasheet","P-ch MOSFET, -30 V, -0.2 A, 4.0 Ω@2.5V, SOT-346(S-Mini)","","P-ch","-30","+/-20","-0.2","0.2","92","","","","","","","","4.0","","","","","","","3","Y","SOT-346 (S-Mini)","","","2.9 x 2.5 x 1.1","7.25","Low Voltage Gate Drive"
"2SK1062","Datasheet","N-ch MOSFET, 60 V, 0.2 A, 1 Ω@10V, SOT-346(S-Mini)","","N-ch","","+/-20","0.2","","","","","","","","","","","","","","","1","","3","Y","SOT-346 (S-Mini)","","","2.9 x 2.5 x 1.1","7.25",""
"2SK2009","Datasheet","N-ch MOSFET, 30 V, 0.2 A, 2.0 Ω@2.5V, SOT-346(S-Mini)","","N-ch","30","+/-20","0.2","0.2","70","","","","","","","","2.0","","","","","","","3","Y","SOT-346 (S-Mini)","","","2.9 x 2.5 x 1.1","7.25","Low Voltage Gate Drive"
"SSM10N954L","Datasheet","N-ch x 2 Common-drain MOSFET, 12 V, 13.5 A, 0.00275 Ω@4.5V, TCSPAC-153001","","N-ch x 2","","+/-8","","0.8","","","","","","","","","","","","","","","","10","Y","TCSPAC-153001","U-MOSⅧ-R","","2.98 x 1.49 x 0.11","4.44","Low Voltage Gate Drive"
"SSM10N961L","Datasheet","N-ch x 2 Common-drain MOSFET, 30 V, 14.0 A, 9.9 mΩ@10 V, TCSPAG-341501","","N-ch x 2","","+/-20","","1.51","","","","","","","","","","","","","","","","10","Y","TCSPAG-341501","U-MOSⅧ-H","","3.37 x 1.47 x 0.11","4.95","Low Voltage Gate Drive"
"SSM14N956L","Datasheet","N-ch x 2 Common-drain MOSFET, 12 V, 20 A, 1.35 mΩ@4.5V, TCSPED-302701","","N-ch x 2","","+/-8","","1.33","","","","","","","","","","","","","","","","14","Y","TCSPED-302701","U-MOSⅧ-R","","3.0 x 2.74 x 0.085","8.22","Low Voltage Gate Drive"
"SSM3H137TU","Datasheet","N-ch MOSFET + Active Clamp Zener, 34 V, 2.0 A, 0.24 Ω@10V, SOT-323F(UFM)","","N-ch + Active Clamp Zener","34","+/-20","2.0","0.8","119","3.0","","","","","","","","0.295","0.28","","","0.24","","3","Y","SOT-323F (UFM)","U-MOSⅣ","Built-in Active Clamp Zener","2.0 x 2.1 x 0.7","4.20","Logic-Level Gate Drive"
"SSM3J112TU","Datasheet","P-ch MOSFET, -30 V, -1.1 A, 0.39 Ω@10V, SOT-323F(UFM)","","P-ch","-30","+/-20","-1.1","0.5","86","","","","","","","","","0.79","","","","0.39","","3","Y","SOT-323F (UFM)","U-MOSⅡ","","2.0 x 2.1 x 0.7","4.20","Logic-Level Gate Drive"
"SSM3J117TU","Datasheet","P-ch MOSFET, -30 V, -2.0 A, 0.117 Ω@10V, SOT-323F(UFM)","","P-ch","-30","+/-20","-2.0","0.5","280","","","","","","","","","0.225","","","","0.117","","3","Y","SOT-323F (UFM)","U-MOSⅡ","","2.0 x 2.1 x 0.7","4.20","Logic-Level Gate Drive"
