Part Number,Datasheet,Stock Check,Status,Configuration,Technology,Type,Package,MSL,AEC-Q,VDS (V),VGS ±(V),ID Max. (A),VGS(th) Min. (V),VGS(th) Typ. (V),VGS(th) Max. (V),RDS(ON) @ 10V Typ. (mΩ),RDS(ON) @ 10V Max. (mΩ),RDS(ON) @ 4.5V Typ. (mΩ),RDS(ON) @ 4.5V Max. (mΩ),Qg (nC) @ 10V,Qg (nC) @ 4.5V,Qgs (nC),Qgd (nC),Ciss (pF),Coss (pF),Crss (pF),TJ Max. (°C),RoHS Compliant,Halogen-Free Standard,Solderability Standard,Terminal Finish,Product Weight(g),Flammability Rating
TSM007NM03LCR,https://services.taiwansemi.com/storage/resources/datasheet/TSM007NM03LCR_A2505.pdf,https://www.taiwansemi.com/en/stock-check/TSM007NM03LCR/,Active,Single,Trench,N-Channel,PDFN56_A,1.0,No,30,20,120.0,1.1,1.7,2.2,0.4,0.7,1.2,1.4,208.0,,37.0,41.0,13124.0,8226.0,138.0,150,Yes with exemption 7(a),IEC 61249-2-21,,,0.13,UL 94 V-0
TSM60NC165CF,https://services.taiwansemi.com/storage/resources/datasheet/TSM60NC165CF_A2503.pdf,https://www.taiwansemi.com/en/stock-check/TSM60NC165CF/,Active,Single,Super Junction G3,N-Channel,ITO-220S,,No,600,20,14.0,3.0,4.0,5.0,138.0,165.0,,,48.0,,12.0,22.0,1857.0,53.0,12.0,150,,,,,,
TSM011NM03LCR,https://services.taiwansemi.com/storage/resources/datasheet/TSM011NM03LCR_A2505.pdf,https://www.taiwansemi.com/en/stock-check/TSM011NM03LCR/,Active,Single,Trench,N-Channel,PDFN56_A,1.0,No,30,20,120.0,1.0,1.6,2.5,0.9,1.1,1.5,1.7,79.0,,11.0,19.0,4378.0,3498.0,306.0,150,Yes with exemption 7(a),IEC 61249-2-21,,,0.108,UL 94 V-0
TSM60NC165CIT,https://services.taiwansemi.com/storage/resources/datasheet/TSM60NC165CIT_A2503.pdf,https://www.taiwansemi.com/en/stock-check/TSM60NC165CIT/,Active,Single,Super Junction G3,N-Channel,ITO-220TL,,No,600,20,14.0,3.0,4.0,5.0,138.0,165.0,,,48.0,,12.0,22.0,1857.0,53.0,12.0,150,,,,,,
TSM013NM04LTL,https://services.taiwansemi.com/storage/resources/datasheet/TSM013NM04LTL_A2505.pdf,https://www.taiwansemi.com/en/stock-check/TSM013NM04LTL/,Active,Single,Trench,N-Channel,TOLL_A,1.0,No,40,20,300.0,1.1,1.5,2.1,1.1,1.3,1.3,1.4,111.0,,15.0,22.0,6458.0,2839.0,132.0,150,Yes with exemption 7(a),IEC 61249-2-21,,,0.905,UL 94 V-0
TSM60NC196CF,https://services.taiwansemi.com/storage/resources/datasheet/TSM60NC196CF_A2503.pdf,https://www.taiwansemi.com/en/stock-check/TSM60NC196CF/,Active,Single,Super Junction G3,N-Channel,ITO-220S,,No,600,20,12.0,3.0,4.1,5.0,167.0,196.0,,,42.0,,10.0,19.0,1506.0,47.0,8.0,150,,,,,,
TSM018NM08TL,https://services.taiwansemi.com/storage/resources/datasheet/TSM018NM08TL_A2505.pdf,https://www.taiwansemi.com/en/stock-check/TSM018NM08TL/,Active,Single,Trench,N-Channel,TOLL_A,1.0,No,80,20,300.0,2.0,2.8,4.1,1.4,1.8,,,179.0,,57.0,33.0,12182.0,2269.0,45.0,150,Yes with exemption 7(a),IEC 61249-2-21,,,0.955,UL 94 V-0
TSM60NC196CIT,https://services.taiwansemi.com/storage/resources/datasheet/TSM60NC196CIT_A2503.pdf,https://www.taiwansemi.com/en/stock-check/TSM60NC196CIT/,Active,Single,Super Junction G3,N-Channel,ITO-220TL,,No,600,20,12.0,3.0,4.1,5.0,167.0,196.0,,,42.0,,10.0,19.0,1506.0,47.0,8.0,150,,,,,,
TSM020NM10TL,https://services.taiwansemi.com/storage/resources/datasheet/TSM020NM10TL_A2505.pdf,https://www.taiwansemi.com/en/stock-check/TSM020NM10TL/,Active,Single,Trench,N-Channel,TOLL_A,1.0,No,100,20,300.0,2.1,2.9,3.8,1.8,2.2,,,163.0,,49.0,34.0,11246.0,1734.0,43.0,175,Yes with exemption 7(a),IEC 61249-2-21,,,0.933,UL 94 V-0
TSM048NM15TL,https://services.taiwansemi.com/storage/resources/datasheet/TSM048NM15TL_A2505.pdf,https://www.taiwansemi.com/en/stock-check/TSM048NM15TL/,Active,Single,Trench,N-Channel,TOLL_A,1.0,No,150,20,224.0,2.2,3.3,4.1,3.7,4.8,,,129.0,,45.0,25.0,9924.0,769.0,34.0,175,Yes with exemption 7(a),IEC 61249-2-21,,,0.936,UL 94 V-0
